period,subba,subba-name,parent,parent-name,value,value-units
2024-05-30T00,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,10848,megawatthours
2024-05-30T00,SCE,Southern California Edison - CISO,CISO,California Independent System Operator,11720,megawatthours
2024-05-30T00,SDGE,San Diego Gas and Electric - CISO,CISO,California Independent System Operator,1053,megawatthours
2024-05-30T00,VEA,Valley Electric Association  - CISO,CISO,California Independent System Operator,140,megawatthours
2024-05-30T00,COAS,ERCO - Coast,ERCO,"Electric Reliability Council of Texas, Inc.",17266,megawatthours
2024-05-30T00,EAST,ERCO - East,ERCO,"Electric Reliability Council of Texas, Inc.",2360,megawatthours
2024-05-30T00,FWES,ERCO - Far West,ERCO,"Electric Reliability Council of Texas, Inc.",7206,megawatthours
2024-05-30T00,NCEN,ERCO - North Central,ERCO,"Electric Reliability Council of Texas, Inc.",19161,megawatthours
2024-05-30T00,NRTH,ERCO - North,ERCO,"Electric Reliability Council of Texas, Inc.",2123,megawatthours
2024-05-30T00,SCEN,ERCO - South Central,ERCO,"Electric Reliability Council of Texas, Inc.",12331,megawatthours
2024-05-30T00,SOUT,ERCO - South,ERCO,"Electric Reliability Council of Texas, Inc.",5774,megawatthours
2024-05-30T00,WEST,ERCO - West,ERCO,"Electric Reliability Council of Texas, Inc.",1829,megawatthours
2024-05-30T00,4001,ISNE - Maine,ISNE,ISO New England,1323,megawatthours
2024-05-30T00,4002,ISNE - New Hampshire,ISNE,ISO New England,1440,megawatthours
2024-05-30T00,4003,ISNE - Vermont,ISNE,ISO New England,563,megawatthours
2024-05-30T00,4004,ISNE - Connecticut,ISNE,ISO New England,3630,megawatthours
2024-05-30T00,4005,ISNE - Rhode Island,ISNE,ISO New England,1010,megawatthours
2024-05-30T00,4006,ISNE - Southeast Mass.,ISNE,ISO New England,1889,megawatthours
2024-05-30T00,4007,ISNE - Western/Central Mass.,ISNE,ISO New England,2062,megawatthours
2024-05-30T00,4008,ISNE - Northeast Mass.,ISNE,ISO New England,3042,megawatthours
2024-05-30T00,0001,Zone 1 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",10637,megawatthours
2024-05-30T00,0004,Zone 4 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",5345,megawatthours
2024-05-30T00,0006,Zone 6 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",10047,megawatthours
2024-05-30T00,0027,Zones 2 and 7 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",17675,megawatthours
2024-05-30T00,0035,Zones 3 and 5 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",11117,megawatthours
2024-05-30T00,8910,"Zones 8, 9 and 10 - MISO",MISO,"Midcontinent Independent System Operator, Inc.",23620,megawatthours
2024-05-30T00,ZONA,West - NYIS,NYIS,New York Independent System Operator,1792,megawatthours
2024-05-30T00,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,1035,megawatthours
2024-05-30T00,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1671,megawatthours
2024-05-30T00,ZOND,North - NYIS,NYIS,New York Independent System Operator,633,megawatthours
2024-05-30T00,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,761,megawatthours
2024-05-30T00,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1440,megawatthours
2024-05-30T00,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,1197,megawatthours
2024-05-30T00,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,360,megawatthours
2024-05-30T00,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,761,megawatthours
2024-05-30T00,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,6248,megawatthours
2024-05-30T00,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,2903,megawatthours
2024-05-30T00,AE,Atlantic Electric zone - PJM,PJM,"PJM Interconnection, LLC",1418,megawatthours
2024-05-30T00,AEP,American Electric Power zone - PJM,PJM,"PJM Interconnection, LLC",14441,megawatthours
2024-05-30T00,AP,Allegheny Power zone - PJM,PJM,"PJM Interconnection, LLC",5339,megawatthours
2024-05-30T00,ATSI,"American Transmission Systems, Inc. zone - PJM",PJM,"PJM Interconnection, LLC",7302,megawatthours
2024-05-30T00,BC,Baltimore Gas null zone - PJM,PJM,"PJM Interconnection, LLC",3445,megawatthours
2024-05-30T00,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",10273,megawatthours
2024-05-30T00,DAY,Dayton Power null zone - PJM,PJM,"PJM Interconnection, LLC",1953,megawatthours
2024-05-30T00,DEOK,Duke Energy Ohio/Kentucky zone  - PJM,PJM,"PJM Interconnection, LLC",2988,megawatthours
2024-05-30T00,DOM,Dominion Virginia Power zone - PJM,PJM,"PJM Interconnection, LLC",14936,megawatthours
2024-05-30T00,DPL,Delmarva Power null zone - PJM,PJM,"PJM Interconnection, LLC",2177,megawatthours
2024-05-30T00,DUQ,Duquesne Lighting Company zone - PJM,PJM,"PJM Interconnection, LLC",1413,megawatthours
2024-05-30T00,EKPC,East Kentucky Power Cooperative zone - PJM,PJM,"PJM Interconnection, LLC",1438,megawatthours
2024-05-30T00,JC,Jersey Central Power null zone - PJM,PJM,"PJM Interconnection, LLC",3146,megawatthours
2024-05-30T00,ME,Metropolitan Edison zone - PJM,PJM,"PJM Interconnection, LLC",1893,megawatthours
2024-05-30T00,PE,PECO Energy zone - PJM,PJM,"PJM Interconnection, LLC",4583,megawatthours
2024-05-30T00,PEP,Potomac Electric Power zone - PJM,PJM,"PJM Interconnection, LLC",3129,megawatthours
2024-05-30T00,PL,Pennsylvania Power  zone - PJM,PJM,"PJM Interconnection, LLC",4687,megawatthours
2024-05-30T00,PN,Pennsylvania Electric zone - PJM,PJM,"PJM Interconnection, LLC",1940,megawatthours
2024-05-30T00,PS,Public Service Electric & Gas of New Jersey zone - PJM,PJM,"PJM Interconnection, LLC",5780,megawatthours
2024-05-30T00,RECO,Rockland Electric (East) zone - PJM,PJM,"PJM Interconnection, LLC",212,megawatthours
2024-05-30T00,ACMA,City of Acoma Pueblo - PNM,PNM,Public Service Company of New Mexico,2,megawatthours
2024-05-30T00,CYGA,PNM-CYGA,PNM,Public Service Company of New Mexico,22,megawatthours
2024-05-30T00,Frep,Frep - PNM,PNM,Public Service Company of New Mexico,63,megawatthours
2024-05-30T00,Jica,Jicarilla Apache Nation - PNM,PNM,Public Service Company of New Mexico,2,megawatthours
2024-05-30T00,KAFB,KAFB - PNM,PNM,Public Service Company of New Mexico,60,megawatthours
2024-05-30T00,KCEC,KCEC - PNM,PNM,Public Service Company of New Mexico,20,megawatthours
2024-05-30T00,LAC,Los Alamos County - PNM,PNM,Public Service Company of New Mexico,56,megawatthours
2024-05-30T00,PNM,PNM System Firm Load,PNM,Public Service Company of New Mexico,1485,megawatthours
2024-05-30T00,TSGT,TSGT - PNM,PNM,Public Service Company of New Mexico,313,megawatthours
2024-05-30T00,CSWS,AEPW American Electric Power West - SWPP,SWPP,Southwest Power Pool,6429,megawatthours
2024-05-30T00,EDE,Empire District Electric Company - SWPP,SWPP,Southwest Power Pool,771,megawatthours
2024-05-30T00,GRDA,Grand River Dam Authority - SWPP,SWPP,Southwest Power Pool,929,megawatthours
2024-05-30T00,INDN,Independence Power null - SWPP,SWPP,Southwest Power Pool,170,megawatthours
2024-05-30T00,KACY,Kansas City Board of Public Utilities - SWPP,SWPP,Southwest Power Pool,333,megawatthours
2024-05-30T00,KCPL,Kansas City Power & Light - SWPP,SWPP,Southwest Power Pool,2455,megawatthours
2024-05-30T00,LES,Lincoln Electric System - SWPP,SWPP,Southwest Power Pool,522,megawatthours
2024-05-30T00,MPS,KCP&L Greater Missouri Operations - SWPP,SWPP,Southwest Power Pool,1347,megawatthours
2024-05-30T00,NPPD,Nebraska Public Power District - SWPP,SWPP,Southwest Power Pool,2057,megawatthours
2024-05-30T00,OKGE,Oklahoma Gas and Electric Co. - SWPP,SWPP,Southwest Power Pool,5106,megawatthours
2024-05-30T00,OPPD,Omaha Public Power District - SWPP,SWPP,Southwest Power Pool,2054,megawatthours
2024-05-30T00,SECI,Sunflower Electric - SWPP,SWPP,Southwest Power Pool,824,megawatthours
