period,subba,subba-name,parent,parent-name,value,value-units
2024-02-18T00,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,10772,megawatthours
2024-02-18T00,SCE,Southern California Edison - CISO,CISO,California Independent System Operator,9883,megawatthours
2024-02-18T00,SDGE,San Diego Gas and Electric - CISO,CISO,California Independent System Operator,1597,megawatthours
2024-02-18T00,VEA,Valley Electric Association  - CISO,CISO,California Independent System Operator,50,megawatthours
2024-02-18T00,COAS,ERCO - Coast,ERCO,"Electric Reliability Council of Texas, Inc.",12276,megawatthours
2024-02-18T00,EAST,ERCO - East,ERCO,"Electric Reliability Council of Texas, Inc.",1968,megawatthours
2024-02-18T00,FWES,ERCO - Far West,ERCO,"Electric Reliability Council of Texas, Inc.",6513,megawatthours
2024-02-18T00,NCEN,ERCO - North Central,ERCO,"Electric Reliability Council of Texas, Inc.",14558,megawatthours
2024-02-18T00,NRTH,ERCO - North,ERCO,"Electric Reliability Council of Texas, Inc.",1577,megawatthours
2024-02-18T00,SCEN,ERCO - South Central,ERCO,"Electric Reliability Council of Texas, Inc.",7839,megawatthours
2024-02-18T00,SOUT,ERCO - South,ERCO,"Electric Reliability Council of Texas, Inc.",4072,megawatthours
2024-02-18T00,WEST,ERCO - West,ERCO,"Electric Reliability Council of Texas, Inc.",1270,megawatthours
2024-02-18T00,4001,ISNE - Maine,ISNE,ISO New England,1557,megawatthours
2024-02-18T00,4002,ISNE - New Hampshire,ISNE,ISO New England,1567,megawatthours
2024-02-18T00,4003,ISNE - Vermont,ISNE,ISO New England,770,megawatthours
2024-02-18T00,4004,ISNE - Connecticut,ISNE,ISO New England,3716,megawatthours
2024-02-18T00,4005,ISNE - Rhode Island,ISNE,ISO New England,992,megawatthours
2024-02-18T00,4006,ISNE - Southeast Mass.,ISNE,ISO New England,1907,megawatthours
2024-02-18T00,4007,ISNE - Western/Central Mass.,ISNE,ISO New England,2156,megawatthours
2024-02-18T00,4008,ISNE - Northeast Mass.,ISNE,ISO New England,3038,megawatthours
2024-02-18T00,0001,Zone 1 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",11152,megawatthours
2024-02-18T00,0004,Zone 4 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",5494,megawatthours
2024-02-18T00,0006,Zone 6 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",11155,megawatthours
2024-02-18T00,0027,Zones 2 and 7 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",18092,megawatthours
2024-02-18T00,0035,Zones 3 and 5 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",10871,megawatthours
2024-02-18T00,8910,"Zones 8, 9 and 10 - MISO",MISO,"Midcontinent Independent System Operator, Inc.",21222,megawatthours
2024-02-18T00,ZONA,West - NYIS,NYIS,New York Independent System Operator,1973,megawatthours
2024-02-18T00,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,1273,megawatthours
2024-02-18T00,ZONC,Central - NYIS,NYIS,New York Independent System Operator,2059,megawatthours
2024-02-18T00,ZOND,North - NYIS,NYIS,New York Independent System Operator,765,megawatthours
2024-02-18T00,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,1154,megawatthours
2024-02-18T00,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1577,megawatthours
2024-02-18T00,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,1318,megawatthours
2024-02-18T00,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,399,megawatthours
2024-02-18T00,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,719,megawatthours
2024-02-18T00,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,5928,megawatthours
2024-02-18T00,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,2591,megawatthours
2024-02-18T00,AE,Atlantic Electric zone - PJM,PJM,"PJM Interconnection, LLC",1346,megawatthours
2024-02-18T00,AEP,American Electric Power zone - PJM,PJM,"PJM Interconnection, LLC",17576,megawatthours
2024-02-18T00,AP,Allegheny Power zone - PJM,PJM,"PJM Interconnection, LLC",7060,megawatthours
2024-02-18T00,ATSI,"American Transmission Systems, Inc. zone - PJM",PJM,"PJM Interconnection, LLC",8481,megawatthours
2024-02-18T00,BC,Baltimore Gas null zone - PJM,PJM,"PJM Interconnection, LLC",4243,megawatthours
2024-02-18T00,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",11178,megawatthours
2024-02-18T00,DAY,Dayton Power null zone - PJM,PJM,"PJM Interconnection, LLC",2284,megawatthours
2024-02-18T00,DEOK,Duke Energy Ohio/Kentucky zone  - PJM,PJM,"PJM Interconnection, LLC",3493,megawatthours
2024-02-18T00,DOM,Dominion Virginia Power zone - PJM,PJM,"PJM Interconnection, LLC",15746,megawatthours
2024-02-18T00,DPL,Delmarva Power null zone - PJM,PJM,"PJM Interconnection, LLC",2706,megawatthours
2024-02-18T00,DUQ,Duquesne Lighting Company zone - PJM,PJM,"PJM Interconnection, LLC",1698,megawatthours
2024-02-18T00,EKPC,East Kentucky Power Cooperative zone - PJM,PJM,"PJM Interconnection, LLC",2225,megawatthours
2024-02-18T00,JC,Jersey Central Power null zone - PJM,PJM,"PJM Interconnection, LLC",2883,megawatthours
2024-02-18T00,ME,Metropolitan Edison zone - PJM,PJM,"PJM Interconnection, LLC",2089,megawatthours
2024-02-18T00,PE,PECO Energy zone - PJM,PJM,"PJM Interconnection, LLC",5047,megawatthours
2024-02-18T00,PEP,Potomac Electric Power zone - PJM,PJM,"PJM Interconnection, LLC",3741,megawatthours
2024-02-18T00,PL,Pennsylvania Power  zone - PJM,PJM,"PJM Interconnection, LLC",5697,megawatthours
2024-02-18T00,PN,Pennsylvania Electric zone - PJM,PJM,"PJM Interconnection, LLC",2231,megawatthours
2024-02-18T00,PS,Public Service Electric & Gas of New Jersey zone - PJM,PJM,"PJM Interconnection, LLC",5324,megawatthours
2024-02-18T00,RECO,Rockland Electric (East) zone - PJM,PJM,"PJM Interconnection, LLC",173,megawatthours
2024-02-18T00,ACMA,City of Acoma Pueblo - PNM,PNM,Public Service Company of New Mexico,1,megawatthours
2024-02-18T00,CYGA,PNM-CYGA,PNM,Public Service Company of New Mexico,21,megawatthours
2024-02-18T00,Frep,Frep - PNM,PNM,Public Service Company of New Mexico,78,megawatthours
2024-02-18T00,Jica,Jicarilla Apache Nation - PNM,PNM,Public Service Company of New Mexico,2,megawatthours
2024-02-18T00,KAFB,KAFB - PNM,PNM,Public Service Company of New Mexico,46,megawatthours
2024-02-18T00,KCEC,KCEC - PNM,PNM,Public Service Company of New Mexico,44,megawatthours
2024-02-18T00,LAC,Los Alamos County - PNM,PNM,Public Service Company of New Mexico,76,megawatthours
2024-02-18T00,PNM,PNM System Firm Load,PNM,Public Service Company of New Mexico,1024,megawatthours
2024-02-18T00,TSGT,TSGT - PNM,PNM,Public Service Company of New Mexico,300,megawatthours
2024-02-18T00,CSWS,AEPW American Electric Power West - SWPP,SWPP,Southwest Power Pool,5768,megawatthours
2024-02-18T00,EDE,Empire District Electric Company - SWPP,SWPP,Southwest Power Pool,701,megawatthours
2024-02-18T00,GRDA,Grand River Dam Authority - SWPP,SWPP,Southwest Power Pool,844,megawatthours
2024-02-18T00,INDN,Independence Power null - SWPP,SWPP,Southwest Power Pool,125,megawatthours
2024-02-18T00,KACY,Kansas City Board of Public Utilities - SWPP,SWPP,Southwest Power Pool,284,megawatthours
2024-02-18T00,KCPL,Kansas City Power & Light - SWPP,SWPP,Southwest Power Pool,1939,megawatthours
2024-02-18T00,LES,Lincoln Electric System - SWPP,SWPP,Southwest Power Pool,402,megawatthours
2024-02-18T00,MPS,KCP&L Greater Missouri Operations - SWPP,SWPP,Southwest Power Pool,1134,megawatthours
2024-02-18T00,NPPD,Nebraska Public Power District - SWPP,SWPP,Southwest Power Pool,1969,megawatthours
2024-02-18T00,OKGE,Oklahoma Gas and Electric Co. - SWPP,SWPP,Southwest Power Pool,4466,megawatthours
2024-02-18T00,OPPD,Omaha Public Power District - SWPP,SWPP,Southwest Power Pool,1598,megawatthours
2024-02-18T00,SECI,Sunflower Electric - SWPP,SWPP,Southwest Power Pool,599,megawatthours
2024-02-18T00,SPRM,City of Springfield - SWPP,SWPP,Southwest Power Pool,394,megawatthours
2024-02-18T00,SPS,Southwestern Public Service Company - SWPP,SWPP,Southwest Power Pool,3934,megawatthours
2024-02-18T00,WAUE,Western Area Power Upper Great Plains East - SWPP,SWPP,Southwest Power Pool,4251,megawatthours
2024-02-18T00,WFEC,Western Farmers Electric Cooperative - SWPP,SWPP,Southwest Power Pool,1360,megawatthours
2024-02-18T00,WR,Westar Energy - SWPP,SWPP,Southwest Power Pool,3580,megawatthours
2024-02-17T23,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,10348,megawatthours
2024-02-17T23,SCE,Southern California Edison - CISO,CISO,California Independent System Operator,10355,megawatthours
2024-02-17T23,SDGE,San Diego Gas and Electric - CISO,CISO,California Independent System Operator,1916,megawatthours
2024-02-17T23,VEA,Valley Electric Association  - CISO,CISO,California Independent System Operator,103,megawatthours
2024-02-17T23,COAS,ERCO - Coast,ERCO,"Electric Reliability Council of Texas, Inc.",12148,megawatthours
2024-02-17T23,EAST,ERCO - East,ERCO,"Electric Reliability Council of Texas, Inc.",1917,megawatthours
2024-02-17T23,FWES,ERCO - Far West,ERCO,"Electric Reliability Council of Texas, Inc.",6521,megawatthours
2024-02-17T23,NCEN,ERCO - North Central,ERCO,"Electric Reliability Council of Texas, Inc.",14173,megawatthours
2024-02-17T23,NRTH,ERCO - North,ERCO,"Electric Reliability Council of Texas, Inc.",1542,megawatthours
2024-02-17T23,SCEN,ERCO - South Central,ERCO,"Electric Reliability Council of Texas, Inc.",7580,megawatthours
2024-02-17T23,SOUT,ERCO - South,ERCO,"Electric Reliability Council of Texas, Inc.",4047,megawatthours
2024-02-17T23,WEST,ERCO - West,ERCO,"Electric Reliability Council of Texas, Inc.",1176,megawatthours
2024-02-17T23,4001,ISNE - Maine,ISNE,ISO New England,1553,megawatthours
2024-02-17T23,4002,ISNE - New Hampshire,ISNE,ISO New England,1547,megawatthours
2024-02-17T23,4003,ISNE - Vermont,ISNE,ISO New England,773,megawatthours
2024-02-17T23,4004,ISNE - Connecticut,ISNE,ISO New England,3604,megawatthours
