period,subba,subba-name,parent,parent-name,value,value-units
2024-10-05T00,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,15893,megawatthours
2024-10-05T00,SCE,Southern California Edison - CISO,CISO,California Independent System Operator,17846,megawatthours
2024-10-05T00,SDGE,San Diego Gas and Electric - CISO,CISO,California Independent System Operator,2142,megawatthours
2024-10-05T00,VEA,Valley Electric Association  - CISO,CISO,California Independent System Operator,111,megawatthours
2024-10-05T00,COAS,ERCO - Coast,ERCO,"Electric Reliability Council of Texas, Inc.",18183,megawatthours
2024-10-05T00,EAST,ERCO - East,ERCO,"Electric Reliability Council of Texas, Inc.",2339,megawatthours
2024-10-05T00,FWES,ERCO - Far West,ERCO,"Electric Reliability Council of Texas, Inc.",7287,megawatthours
2024-10-05T00,NCEN,ERCO - North Central,ERCO,"Electric Reliability Council of Texas, Inc.",18860,megawatthours
2024-10-05T00,NRTH,ERCO - North,ERCO,"Electric Reliability Council of Texas, Inc.",2167,megawatthours
2024-10-05T00,SCEN,ERCO - South Central,ERCO,"Electric Reliability Council of Texas, Inc.",11271,megawatthours
2024-10-05T00,SOUT,ERCO - South,ERCO,"Electric Reliability Council of Texas, Inc.",4979,megawatthours
2024-10-05T00,WEST,ERCO - West,ERCO,"Electric Reliability Council of Texas, Inc.",1633,megawatthours
2024-10-05T00,4001,ISNE - Maine,ISNE,ISO New England,1293,megawatthours
2024-10-05T00,4002,ISNE - New Hampshire,ISNE,ISO New England,1325,megawatthours
2024-10-05T00,4003,ISNE - Vermont,ISNE,ISO New England,622,megawatthours
2024-10-05T00,4004,ISNE - Connecticut,ISNE,ISO New England,3162,megawatthours
2024-10-05T00,4005,ISNE - Rhode Island,ISNE,ISO New England,1135,megawatthours
2024-10-05T00,4006,ISNE - Southeast Mass.,ISNE,ISO New England,1615,megawatthours
2024-10-05T00,4007,ISNE - Western/Central Mass.,ISNE,ISO New England,1843,megawatthours
2024-10-05T00,4008,ISNE - Northeast Mass.,ISNE,ISO New England,2693,megawatthours
2024-10-05T00,0001,Zone 1 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",10512,megawatthours
2024-10-05T00,0004,Zone 4 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",5273,megawatthours
2024-10-05T00,0006,Zone 6 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",10387,megawatthours
2024-10-05T00,0027,Zones 2 and 7 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",17228,megawatthours
2024-10-05T00,0035,Zones 3 and 5 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",10685,megawatthours
2024-10-05T00,8910,"Zones 8, 9 and 10 - MISO",MISO,"Midcontinent Independent System Operator, Inc.",22702,megawatthours
2024-10-05T00,ZONA,West - NYIS,NYIS,New York Independent System Operator,1756,megawatthours
2024-10-05T00,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,1125,megawatthours
2024-10-05T00,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1750,megawatthours
2024-10-05T00,ZOND,North - NYIS,NYIS,New York Independent System Operator,599,megawatthours
2024-10-05T00,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,870,megawatthours
2024-10-05T00,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1398,megawatthours
