period,subba,subba-name,parent,parent-name,value,value-units
2024-10-04T00,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,17249,megawatthours
2024-10-04T00,SCE,Southern California Edison - CISO,CISO,California Independent System Operator,18235,megawatthours
2024-10-04T00,SDGE,San Diego Gas and Electric - CISO,CISO,California Independent System Operator,2245,megawatthours
2024-10-04T00,VEA,Valley Electric Association  - CISO,CISO,California Independent System Operator,112,megawatthours
2024-10-04T00,COAS,ERCO - Coast,ERCO,"Electric Reliability Council of Texas, Inc.",17817,megawatthours
2024-10-04T00,EAST,ERCO - East,ERCO,"Electric Reliability Council of Texas, Inc.",2425,megawatthours
2024-10-04T00,FWES,ERCO - Far West,ERCO,"Electric Reliability Council of Texas, Inc.",7112,megawatthours
2024-10-04T00,NCEN,ERCO - North Central,ERCO,"Electric Reliability Council of Texas, Inc.",20835,megawatthours
2024-10-04T00,NRTH,ERCO - North,ERCO,"Electric Reliability Council of Texas, Inc.",2064,megawatthours
2024-10-04T00,SCEN,ERCO - South Central,ERCO,"Electric Reliability Council of Texas, Inc.",11871,megawatthours
2024-10-04T00,SOUT,ERCO - South,ERCO,"Electric Reliability Council of Texas, Inc.",5286,megawatthours
2024-10-04T00,WEST,ERCO - West,ERCO,"Electric Reliability Council of Texas, Inc.",1659,megawatthours
2024-10-04T00,4001,ISNE - Maine,ISNE,ISO New England,1347,megawatthours
2024-10-04T00,4002,ISNE - New Hampshire,ISNE,ISO New England,1369,megawatthours
2024-10-04T00,4003,ISNE - Vermont,ISNE,ISO New England,628,megawatthours
2024-10-04T00,4004,ISNE - Connecticut,ISNE,ISO New England,3222,megawatthours
2024-10-04T00,4005,ISNE - Rhode Island,ISNE,ISO New England,928,megawatthours
2024-10-04T00,4006,ISNE - Southeast Mass.,ISNE,ISO New England,1692,megawatthours
2024-10-04T00,4007,ISNE - Western/Central Mass.,ISNE,ISO New England,1910,megawatthours
2024-10-04T00,4008,ISNE - Northeast Mass.,ISNE,ISO New England,2756,megawatthours
2024-10-04T00,0001,Zone 1 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",10765,megawatthours
2024-10-04T00,0004,Zone 4 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",5380,megawatthours
2024-10-04T00,0006,Zone 6 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",10512,megawatthours
2024-10-04T00,0027,Zones 2 and 7 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",18493,megawatthours
2024-10-04T00,0035,Zones 3 and 5 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",10815,megawatthours
2024-10-04T00,8910,"Zones 8, 9 and 10 - MISO",MISO,"Midcontinent Independent System Operator, Inc.",23379,megawatthours
2024-10-04T00,ZONA,West - NYIS,NYIS,New York Independent System Operator,1775,megawatthours
2024-10-04T00,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,1159,megawatthours
2024-10-04T00,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1766,megawatthours
2024-10-04T00,ZOND,North - NYIS,NYIS,New York Independent System Operator,636,megawatthours
2024-10-04T00,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,888,megawatthours
2024-10-04T00,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1481,megawatthours
2024-10-04T00,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,1166,megawatthours
2024-10-04T00,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,294,megawatthours
2024-10-04T00,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,692,megawatthours
2024-10-04T00,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,5704,megawatthours
2024-10-04T00,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,2439,megawatthours
2024-10-04T00,AE,Atlantic Electric zone - PJM,PJM,"PJM Interconnection, LLC",1346,megawatthours
2024-10-04T00,AEP,American Electric Power zone - PJM,PJM,"PJM Interconnection, LLC",15454,megawatthours
2024-10-04T00,AP,Allegheny Power zone - PJM,PJM,"PJM Interconnection, LLC",5575,megawatthours
2024-10-04T00,ATSI,"American Transmission Systems, Inc. zone - PJM",PJM,"PJM Interconnection, LLC",7822,megawatthours
2024-10-04T00,BC,Baltimore Gas null zone - PJM,PJM,"PJM Interconnection, LLC",3786,megawatthours
2024-10-04T00,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",11201,megawatthours
2024-10-04T00,DAY,Dayton Power null zone - PJM,PJM,"PJM Interconnection, LLC",2121,megawatthours
2024-10-04T00,DEOK,Duke Energy Ohio/Kentucky zone  - PJM,PJM,"PJM Interconnection, LLC",3074,megawatthours
2024-10-04T00,DOM,Dominion Virginia Power zone - PJM,PJM,"PJM Interconnection, LLC",15269,megawatthours
2024-10-04T00,DPL,Delmarva Power null zone - PJM,PJM,"PJM Interconnection, LLC",2195,megawatthours
2024-10-04T00,DUQ,Duquesne Lighting Company zone - PJM,PJM,"PJM Interconnection, LLC",1486,megawatthours
2024-10-04T00,EKPC,East Kentucky Power Cooperative zone - PJM,PJM,"PJM Interconnection, LLC",1507,megawatthours
2024-10-04T00,JC,Jersey Central Power null zone - PJM,PJM,"PJM Interconnection, LLC",2686,megawatthours
2024-10-04T00,ME,Metropolitan Edison zone - PJM,PJM,"PJM Interconnection, LLC",1864,megawatthours
2024-10-04T00,PE,PECO Energy zone - PJM,PJM,"PJM Interconnection, LLC",4491,megawatthours
2024-10-04T00,PEP,Potomac Electric Power zone - PJM,PJM,"PJM Interconnection, LLC",3509,megawatthours
2024-10-04T00,PL,Pennsylvania Power  zone - PJM,PJM,"PJM Interconnection, LLC",4734,megawatthours
2024-10-04T00,PN,Pennsylvania Electric zone - PJM,PJM,"PJM Interconnection, LLC",1985,megawatthours
2024-10-04T00,PS,Public Service Electric & Gas of New Jersey zone - PJM,PJM,"PJM Interconnection, LLC",5206,megawatthours
2024-10-04T00,RECO,Rockland Electric (East) zone - PJM,PJM,"PJM Interconnection, LLC",178,megawatthours
2024-10-04T00,ACMA,City of Acoma Pueblo - PNM,PNM,Public Service Company of New Mexico,2,megawatthours
2024-10-04T00,CYGA,PNM-CYGA,PNM,Public Service Company of New Mexico,24,megawatthours
2024-10-04T00,Frep,Frep - PNM,PNM,Public Service Company of New Mexico,78,megawatthours
2024-10-04T00,Jica,Jicarilla Apache Nation - PNM,PNM,Public Service Company of New Mexico,2,megawatthours
2024-10-04T00,KAFB,KAFB - PNM,PNM,Public Service Company of New Mexico,60,megawatthours
2024-10-04T00,KCEC,KCEC - PNM,PNM,Public Service Company of New Mexico,20,megawatthours
2024-10-04T00,LAC,Los Alamos County - PNM,PNM,Public Service Company of New Mexico,60,megawatthours
2024-10-04T00,PNM,PNM System Firm Load,PNM,Public Service Company of New Mexico,1561,megawatthours
2024-10-04T00,TSGT,TSGT - PNM,PNM,Public Service Company of New Mexico,332,megawatthours
2024-10-04T00,CSWS,AEPW American Electric Power West - SWPP,SWPP,Southwest Power Pool,7001,megawatthours
2024-10-04T00,EDE,Empire District Electric Company - SWPP,SWPP,Southwest Power Pool,770,megawatthours
