period,subba,subba-name,parent,parent-name,value,value-units
2024-07-01T00,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,12280,megawatthours
2024-07-01T00,SCE,Southern California Edison - CISO,CISO,California Independent System Operator,15340,megawatthours
2024-07-01T00,SDGE,San Diego Gas and Electric - CISO,CISO,California Independent System Operator,1672,megawatthours
2024-07-01T00,VEA,Valley Electric Association  - CISO,CISO,California Independent System Operator,118,megawatthours
2024-07-01T00,COAS,ERCO - Coast,ERCO,"Electric Reliability Council of Texas, Inc.",20484,megawatthours
2024-07-01T00,EAST,ERCO - East,ERCO,"Electric Reliability Council of Texas, Inc.",3022,megawatthours
2024-07-01T00,FWES,ERCO - Far West,ERCO,"Electric Reliability Council of Texas, Inc.",7238,megawatthours
2024-07-01T00,NCEN,ERCO - North Central,ERCO,"Electric Reliability Council of Texas, Inc.",24960,megawatthours
2024-07-01T00,NRTH,ERCO - North,ERCO,"Electric Reliability Council of Texas, Inc.",2508,megawatthours
2024-07-01T00,SCEN,ERCO - South Central,ERCO,"Electric Reliability Council of Texas, Inc.",13443,megawatthours
2024-07-01T00,SOUT,ERCO - South,ERCO,"Electric Reliability Council of Texas, Inc.",5574,megawatthours
2024-07-01T00,WEST,ERCO - West,ERCO,"Electric Reliability Council of Texas, Inc.",1988,megawatthours
2024-07-01T00,4001,ISNE - Maine,ISNE,ISO New England,1563,megawatthours
2024-07-01T00,4002,ISNE - New Hampshire,ISNE,ISO New England,1750,megawatthours
2024-07-01T00,4003,ISNE - Vermont,ISNE,ISO New England,674,megawatthours
2024-07-01T00,4004,ISNE - Connecticut,ISNE,ISO New England,3785,megawatthours
2024-07-01T00,4005,ISNE - Rhode Island,ISNE,ISO New England,1094,megawatthours
2024-07-01T00,4006,ISNE - Southeast Mass.,ISNE,ISO New England,2159,megawatthours
2024-07-01T00,4007,ISNE - Western/Central Mass.,ISNE,ISO New England,2244,megawatthours
2024-07-01T00,4008,ISNE - Northeast Mass.,ISNE,ISO New England,3541,megawatthours
2024-07-01T00,0001,Zone 1 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",10958,megawatthours
2024-07-01T00,0004,Zone 4 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",5848,megawatthours
2024-07-01T00,0006,Zone 6 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",10997,megawatthours
2024-07-01T00,0027,Zones 2 and 7 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",17418,megawatthours
2024-07-01T00,0035,Zones 3 and 5 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",11619,megawatthours
2024-07-01T00,8910,"Zones 8, 9 and 10 - MISO",MISO,"Midcontinent Independent System Operator, Inc.",28490,megawatthours
2024-07-01T00,ZONA,West - NYIS,NYIS,New York Independent System Operator,1705,megawatthours
2024-07-01T00,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,1095,megawatthours
2024-07-01T00,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1744,megawatthours
2024-07-01T00,ZOND,North - NYIS,NYIS,New York Independent System Operator,647,megawatthours
2024-07-01T00,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,928,megawatthours
2024-07-01T00,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1700,megawatthours
2024-07-01T00,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,1470,megawatthours
2024-07-01T00,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,391,megawatthours
2024-07-01T00,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,875,megawatthours
2024-07-01T00,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,6960,megawatthours
2024-07-01T00,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,3166,megawatthours
2024-07-01T00,AE,Atlantic Electric zone - PJM,PJM,"PJM Interconnection, LLC",1870,megawatthours
2024-07-01T00,AEP,American Electric Power zone - PJM,PJM,"PJM Interconnection, LLC",17249,megawatthours
2024-07-01T00,AP,Allegheny Power zone - PJM,PJM,"PJM Interconnection, LLC",7087,megawatthours
2024-07-01T00,ATSI,"American Transmission Systems, Inc. zone - PJM",PJM,"PJM Interconnection, LLC",7423,megawatthours
2024-07-01T00,BC,Baltimore Gas null zone - PJM,PJM,"PJM Interconnection, LLC",5492,megawatthours
2024-07-01T00,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",10589,megawatthours
2024-07-01T00,DAY,Dayton Power null zone - PJM,PJM,"PJM Interconnection, LLC",2227,megawatthours
2024-07-01T00,DEOK,Duke Energy Ohio/Kentucky zone  - PJM,PJM,"PJM Interconnection, LLC",3795,megawatthours
2024-07-01T00,DOM,Dominion Virginia Power zone - PJM,PJM,"PJM Interconnection, LLC",19654,megawatthours
2024-07-01T00,DPL,Delmarva Power null zone - PJM,PJM,"PJM Interconnection, LLC",3239,megawatthours
2024-07-01T00,DUQ,Duquesne Lighting Company zone - PJM,PJM,"PJM Interconnection, LLC",1822,megawatthours
