period,subba,subba-name,parent,parent-name,value,value-units
2024-03-21T00,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,7761,megawatthours
2024-03-21T00,SCE,Southern California Edison - CISO,CISO,California Independent System Operator,9516,megawatthours
2024-03-21T00,SDGE,San Diego Gas and Electric - CISO,CISO,California Independent System Operator,1132,megawatthours
2024-03-21T00,VEA,Valley Electric Association  - CISO,CISO,California Independent System Operator,49,megawatthours
2024-03-21T00,COAS,ERCO - Coast,ERCO,"Electric Reliability Council of Texas, Inc.",11392,megawatthours
2024-03-21T00,EAST,ERCO - East,ERCO,"Electric Reliability Council of Texas, Inc.",1598,megawatthours
2024-03-21T00,FWES,ERCO - Far West,ERCO,"Electric Reliability Council of Texas, Inc.",6318,megawatthours
2024-03-21T00,NCEN,ERCO - North Central,ERCO,"Electric Reliability Council of Texas, Inc.",11931,megawatthours
2024-03-21T00,NRTH,ERCO - North,ERCO,"Electric Reliability Council of Texas, Inc.",1485,megawatthours
2024-03-21T00,SCEN,ERCO - South Central,ERCO,"Electric Reliability Council of Texas, Inc.",7124,megawatthours
2024-03-21T00,SOUT,ERCO - South,ERCO,"Electric Reliability Council of Texas, Inc.",3497,megawatthours
2024-03-21T00,WEST,ERCO - West,ERCO,"Electric Reliability Council of Texas, Inc.",1221,megawatthours
2024-03-21T00,4001,ISNE - Maine,ISNE,ISO New England,1409,megawatthours
2024-03-21T00,4002,ISNE - New Hampshire,ISNE,ISO New England,1422,megawatthours
2024-03-21T00,4003,ISNE - Vermont,ISNE,ISO New England,672,megawatthours
2024-03-21T00,4004,ISNE - Connecticut,ISNE,ISO New England,3418,megawatthours
2024-03-21T00,4005,ISNE - Rhode Island,ISNE,ISO New England,927,megawatthours
2024-03-21T00,4006,ISNE - Southeast Mass.,ISNE,ISO New England,1742,megawatthours
2024-03-21T00,4007,ISNE - Western/Central Mass.,ISNE,ISO New England,2035,megawatthours
2024-03-21T00,4008,ISNE - Northeast Mass.,ISNE,ISO New England,2865,megawatthours
2024-03-21T00,0001,Zone 1 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",11109,megawatthours
2024-03-21T00,0004,Zone 4 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",4428,megawatthours
2024-03-21T00,0006,Zone 6 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",9289,megawatthours
2024-03-21T00,0027,Zones 2 and 7 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",18358,megawatthours
2024-03-21T00,0035,Zones 3 and 5 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",9283,megawatthours
2024-03-21T00,8910,"Zones 8, 9 and 10 - MISO",MISO,"Midcontinent Independent System Operator, Inc.",16976,megawatthours
2024-03-21T00,ZONA,West - NYIS,NYIS,New York Independent System Operator,2003,megawatthours
2024-03-21T00,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,1287,megawatthours
2024-03-21T00,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1972,megawatthours
2024-03-21T00,ZOND,North - NYIS,NYIS,New York Independent System Operator,722,megawatthours
2024-03-21T00,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,1045,megawatthours
2024-03-21T00,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1422,megawatthours
2024-03-21T00,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,1204,megawatthours
2024-03-21T00,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,373,megawatthours
2024-03-21T00,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,688,megawatthours
2024-03-21T00,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,5710,megawatthours
2024-03-21T00,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,2349,megawatthours
2024-03-21T00,AE,Atlantic Electric zone - PJM,PJM,"PJM Interconnection, LLC",1151,megawatthours
2024-03-21T00,AEP,American Electric Power zone - PJM,PJM,"PJM Interconnection, LLC",14853,megawatthours
2024-03-21T00,AP,Allegheny Power zone - PJM,PJM,"PJM Interconnection, LLC",5913,megawatthours
2024-03-21T00,ATSI,"American Transmission Systems, Inc. zone - PJM",PJM,"PJM Interconnection, LLC",8274,megawatthours
2024-03-21T00,BC,Baltimore Gas null zone - PJM,PJM,"PJM Interconnection, LLC",3332,megawatthours
2024-03-21T00,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",10284,megawatthours
2024-03-21T00,DAY,Dayton Power null zone - PJM,PJM,"PJM Interconnection, LLC",1983,megawatthours
2024-03-21T00,DEOK,Duke Energy Ohio/Kentucky zone  - PJM,PJM,"PJM Interconnection, LLC",2824,megawatthours
2024-03-21T00,DOM,Dominion Virginia Power zone - PJM,PJM,"PJM Interconnection, LLC",12930,megawatthours
2024-03-21T00,DPL,Delmarva Power null zone - PJM,PJM,"PJM Interconnection, LLC",1942,megawatthours
2024-03-21T00,DUQ,Duquesne Lighting Company zone - PJM,PJM,"PJM Interconnection, LLC",1613,megawatthours
2024-03-21T00,EKPC,East Kentucky Power Cooperative zone - PJM,PJM,"PJM Interconnection, LLC",1414,megawatthours
2024-03-21T00,JC,Jersey Central Power null zone - PJM,PJM,"PJM Interconnection, LLC",2704,megawatthours
2024-03-21T00,ME,Metropolitan Edison zone - PJM,PJM,"PJM Interconnection, LLC",2018,megawatthours
2024-03-21T00,PE,PECO Energy zone - PJM,PJM,"PJM Interconnection, LLC",4454,megawatthours
2024-03-21T00,PEP,Potomac Electric Power zone - PJM,PJM,"PJM Interconnection, LLC",3038,megawatthours
2024-03-21T00,PL,Pennsylvania Power  zone - PJM,PJM,"PJM Interconnection, LLC",5398,megawatthours
2024-03-21T00,PN,Pennsylvania Electric zone - PJM,PJM,"PJM Interconnection, LLC",2240,megawatthours
2024-03-21T00,PS,Public Service Electric & Gas of New Jersey zone - PJM,PJM,"PJM Interconnection, LLC",5074,megawatthours
2024-03-21T00,RECO,Rockland Electric (East) zone - PJM,PJM,"PJM Interconnection, LLC",173,megawatthours
2024-03-21T00,ACMA,City of Acoma Pueblo - PNM,PNM,Public Service Company of New Mexico,1,megawatthours
2024-03-21T00,CYGA,PNM-CYGA,PNM,Public Service Company of New Mexico,20,megawatthours
2024-03-21T00,Frep,Frep - PNM,PNM,Public Service Company of New Mexico,67,megawatthours
2024-03-21T00,Jica,Jicarilla Apache Nation - PNM,PNM,Public Service Company of New Mexico,2,megawatthours
2024-03-21T00,KAFB,KAFB - PNM,PNM,Public Service Company of New Mexico,51,megawatthours
2024-03-21T00,KCEC,KCEC - PNM,PNM,Public Service Company of New Mexico,39,megawatthours
2024-03-21T00,LAC,Los Alamos County - PNM,PNM,Public Service Company of New Mexico,54,megawatthours
2024-03-21T00,PNM,PNM System Firm Load,PNM,Public Service Company of New Mexico,965,megawatthours
2024-03-21T00,TSGT,TSGT - PNM,PNM,Public Service Company of New Mexico,264,megawatthours
2024-03-21T00,CSWS,AEPW American Electric Power West - SWPP,SWPP,Southwest Power Pool,3703,megawatthours
2024-03-21T00,EDE,Empire District Electric Company - SWPP,SWPP,Southwest Power Pool,491,megawatthours
2024-03-21T00,GRDA,Grand River Dam Authority - SWPP,SWPP,Southwest Power Pool,701,megawatthours
2024-03-21T00,INDN,Independence Power null - SWPP,SWPP,Southwest Power Pool,89,megawatthours
2024-03-21T00,KACY,Kansas City Board of Public Utilities - SWPP,SWPP,Southwest Power Pool,219,megawatthours
2024-03-21T00,KCPL,Kansas City Power & Light - SWPP,SWPP,Southwest Power Pool,1503,megawatthours
2024-03-21T00,LES,Lincoln Electric System - SWPP,SWPP,Southwest Power Pool,345,megawatthours
