period,subba,subba-name,parent,parent-name,value,value-units
2023-04-01T00,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,8343,megawatthours
2023-04-01T00,SCE,Southern California Edison - CISO,CISO,California Independent System Operator,9655,megawatthours
2023-04-01T00,SDGE,San Diego Gas and Electric - CISO,CISO,California Independent System Operator,1411,megawatthours
2023-04-01T00,VEA,Valley Electric Association  - CISO,CISO,California Independent System Operator,42,megawatthours
2023-04-01T00,COAS,ERCO - Coast,ERCO,"Electric Reliability Council of Texas, Inc.",14469,megawatthours
2023-04-01T00,EAST,ERCO - East,ERCO,"Electric Reliability Council of Texas, Inc.",1791,megawatthours
2023-04-01T00,FWES,ERCO - Far West,ERCO,"Electric Reliability Council of Texas, Inc.",5277,megawatthours
2023-04-01T00,NCEN,ERCO - North Central,ERCO,"Electric Reliability Council of Texas, Inc.",13783,megawatthours
2023-04-01T00,NRTH,ERCO - North,ERCO,"Electric Reliability Council of Texas, Inc.",586,megawatthours
2023-04-01T00,SCEN,ERCO - South Central,ERCO,"Electric Reliability Council of Texas, Inc.",9596,megawatthours
2023-04-01T00,SOUT,ERCO - South,ERCO,"Electric Reliability Council of Texas, Inc.",4565,megawatthours
2023-04-01T00,WEST,ERCO - West,ERCO,"Electric Reliability Council of Texas, Inc.",2218,megawatthours
2023-04-01T00,4001,ISNE - Maine,ISNE,ISO New England,1354,megawatthours
2023-04-01T00,4002,ISNE - New Hampshire,ISNE,ISO New England,1359,megawatthours
2023-04-01T00,4003,ISNE - Vermont,ISNE,ISO New England,671,megawatthours
2023-04-01T00,4004,ISNE - Connecticut,ISNE,ISO New England,3263,megawatthours
2023-04-01T00,4005,ISNE - Rhode Island,ISNE,ISO New England,899,megawatthours
2023-04-01T00,4006,ISNE - Southeast Mass.,ISNE,ISO New England,1661,megawatthours
2023-04-01T00,4007,ISNE - Western/Central Mass.,ISNE,ISO New England,1940,megawatthours
2023-04-01T00,4008,ISNE - Northeast Mass.,ISNE,ISO New England,2756,megawatthours
2023-04-01T00,0001,Zone 1 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",11318,megawatthours
2023-04-01T00,0004,Zone 4 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",4436,megawatthours
