period,subba,subba-name,parent,parent-name,value,value-units
2023-09-10T00,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,11671,megawatthours
2023-09-10T00,SCE,Southern California Edison - CISO,CISO,California Independent System Operator,18606,megawatthours
2023-09-10T00,SDGE,San Diego Gas and Electric - CISO,CISO,California Independent System Operator,2757,megawatthours
2023-09-10T00,VEA,Valley Electric Association  - CISO,CISO,California Independent System Operator,112,megawatthours
2023-09-10T00,COAS,ERCO - Coast,ERCO,"Electric Reliability Council of Texas, Inc.",19520,megawatthours
2023-09-10T00,EAST,ERCO - East,ERCO,"Electric Reliability Council of Texas, Inc.",2642,megawatthours
2023-09-10T00,FWES,ERCO - Far West,ERCO,"Electric Reliability Council of Texas, Inc.",6388,megawatthours
2023-09-10T00,NCEN,ERCO - North Central,ERCO,"Electric Reliability Council of Texas, Inc.",22769,megawatthours
2023-09-10T00,NRTH,ERCO - North,ERCO,"Electric Reliability Council of Texas, Inc.",2100,megawatthours
2023-09-10T00,SCEN,ERCO - South Central,ERCO,"Electric Reliability Council of Texas, Inc.",14052,megawatthours
2023-09-10T00,SOUT,ERCO - South,ERCO,"Electric Reliability Council of Texas, Inc.",6169,megawatthours
2023-09-10T00,WEST,ERCO - West,ERCO,"Electric Reliability Council of Texas, Inc.",2450,megawatthours
2023-09-10T00,4001,ISNE - Maine,ISNE,ISO New England,1638,megawatthours
2023-09-10T00,4002,ISNE - New Hampshire,ISNE,ISO New England,1747,megawatthours
2023-09-10T00,4003,ISNE - Vermont,ISNE,ISO New England,660,megawatthours
2023-09-10T00,4004,ISNE - Connecticut,ISNE,ISO New England,4360,megawatthours
2023-09-10T00,4005,ISNE - Rhode Island,ISNE,ISO New England,1288,megawatthours
2023-09-10T00,4006,ISNE - Southeast Mass.,ISNE,ISO New England,2333,megawatthours
2023-09-10T00,4007,ISNE - Western/Central Mass.,ISNE,ISO New England,2357,megawatthours
2023-09-10T00,4008,ISNE - Northeast Mass.,ISNE,ISO New England,3422,megawatthours
2023-09-10T00,0001,Zone 1 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",10757,megawatthours
2023-09-10T00,0004,Zone 4 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",5435,megawatthours
2023-09-10T00,0006,Zone 6 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",9859,megawatthours
2023-09-10T00,0027,Zones 2 and 7 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",17184,megawatthours
2023-09-10T00,0035,Zones 3 and 5 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",10806,megawatthours
2023-09-10T00,8910,"Zones 8, 9 and 10 - MISO",MISO,"Midcontinent Independent System Operator, Inc.",25156,megawatthours
2023-09-10T00,ZONA,West - NYIS,NYIS,New York Independent System Operator,1709,megawatthours
2023-09-10T00,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,1113,megawatthours
2023-09-10T00,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1864,megawatthours
2023-09-10T00,ZOND,North - NYIS,NYIS,New York Independent System Operator,621,megawatthours
2023-09-10T00,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,905,megawatthours
2023-09-10T00,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1724,megawatthours
2023-09-10T00,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,1415,megawatthours
2023-09-10T00,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,439,megawatthours
2023-09-10T00,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,848,megawatthours
2023-09-10T00,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,7792,megawatthours
2023-09-10T00,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,3744,megawatthours
