period,subba,subba-name,parent,parent-name,value,value-units
2023-10-08T00,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,12843,megawatthours
2023-10-08T00,SCE,Southern California Edison - CISO,CISO,California Independent System Operator,15464,megawatthours
2023-10-08T00,SDGE,San Diego Gas and Electric - CISO,CISO,California Independent System Operator,2153,megawatthours
2023-10-08T00,VEA,Valley Electric Association  - CISO,CISO,California Independent System Operator,77,megawatthours
2023-10-08T00,COAS,ERCO - Coast,ERCO,"Electric Reliability Council of Texas, Inc.",12469,megawatthours
2023-10-08T00,EAST,ERCO - East,ERCO,"Electric Reliability Council of Texas, Inc.",1455,megawatthours
2023-10-08T00,FWES,ERCO - Far West,ERCO,"Electric Reliability Council of Texas, Inc.",6123,megawatthours
2023-10-08T00,NCEN,ERCO - North Central,ERCO,"Electric Reliability Council of Texas, Inc.",11998,megawatthours
2023-10-08T00,NRTH,ERCO - North,ERCO,"Electric Reliability Council of Texas, Inc.",1201,megawatthours
2023-10-08T00,SCEN,ERCO - South Central,ERCO,"Electric Reliability Council of Texas, Inc.",7443,megawatthours
2023-10-08T00,SOUT,ERCO - South,ERCO,"Electric Reliability Council of Texas, Inc.",3756,megawatthours
2023-10-08T00,WEST,ERCO - West,ERCO,"Electric Reliability Council of Texas, Inc.",1454,megawatthours
2023-10-08T00,4001,ISNE - Maine,ISNE,ISO New England,1281,megawatthours
2023-10-08T00,4002,ISNE - New Hampshire,ISNE,ISO New England,1278,megawatthours
2023-10-08T00,4003,ISNE - Vermont,ISNE,ISO New England,610,megawatthours
2023-10-08T00,4004,ISNE - Connecticut,ISNE,ISO New England,2958,megawatthours
2023-10-08T00,4005,ISNE - Rhode Island,ISNE,ISO New England,908,megawatthours
2023-10-08T00,4006,ISNE - Southeast Mass.,ISNE,ISO New England,1653,megawatthours
2023-10-08T00,4007,ISNE - Western/Central Mass.,ISNE,ISO New England,1780,megawatthours
2023-10-08T00,4008,ISNE - Northeast Mass.,ISNE,ISO New England,2643,megawatthours
2023-10-08T00,0001,Zone 1 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",9773,megawatthours
2023-10-08T00,0004,Zone 4 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",4543,megawatthours
2023-10-08T00,0006,Zone 6 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",8034,megawatthours
2023-10-08T00,0027,Zones 2 and 7 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",15500,megawatthours
2023-10-08T00,0035,Zones 3 and 5 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",8578,megawatthours
2023-10-08T00,8910,"Zones 8, 9 and 10 - MISO",MISO,"Midcontinent Independent System Operator, Inc.",17433,megawatthours
2023-10-08T00,ZONA,West - NYIS,NYIS,New York Independent System Operator,1560,megawatthours
2023-10-08T00,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,1003,megawatthours
2023-10-08T00,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1619,megawatthours
2023-10-08T00,ZOND,North - NYIS,NYIS,New York Independent System Operator,540,megawatthours
2023-10-08T00,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,780,megawatthours
2023-10-08T00,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1240,megawatthours
2023-10-08T00,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,1042,megawatthours
2023-10-08T00,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,300,megawatthours
2023-10-08T00,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,604,megawatthours
2023-10-08T00,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,5131,megawatthours
2023-10-08T00,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,2212,megawatthours
2023-10-08T00,AE,Atlantic Electric zone - PJM,PJM,"PJM Interconnection, LLC",1116,megawatthours
2023-10-08T00,AEP,American Electric Power zone - PJM,PJM,"PJM Interconnection, LLC",12478,megawatthours
2023-10-08T00,AP,Allegheny Power zone - PJM,PJM,"PJM Interconnection, LLC",4743,megawatthours
2023-10-08T00,ATSI,"American Transmission Systems, Inc. zone - PJM",PJM,"PJM Interconnection, LLC",6626,megawatthours
2023-10-08T00,BC,Baltimore Gas null zone - PJM,PJM,"PJM Interconnection, LLC",3010,megawatthours
2023-10-08T00,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",8811,megawatthours
2023-10-08T00,DAY,Dayton Power null zone - PJM,PJM,"PJM Interconnection, LLC",1583,megawatthours
2023-10-08T00,DEOK,Duke Energy Ohio/Kentucky zone  - PJM,PJM,"PJM Interconnection, LLC",2377,megawatthours
2023-10-08T00,DOM,Dominion Virginia Power zone - PJM,PJM,"PJM Interconnection, LLC",12193,megawatthours
2023-10-08T00,DPL,Delmarva Power null zone - PJM,PJM,"PJM Interconnection, LLC",1780,megawatthours
2023-10-08T00,DUQ,Duquesne Lighting Company zone - PJM,PJM,"PJM Interconnection, LLC",1267,megawatthours
2023-10-08T00,EKPC,East Kentucky Power Cooperative zone - PJM,PJM,"PJM Interconnection, LLC",1219,megawatthours
2023-10-08T00,JC,Jersey Central Power null zone - PJM,PJM,"PJM Interconnection, LLC",2342,megawatthours
2023-10-08T00,ME,Metropolitan Edison zone - PJM,PJM,"PJM Interconnection, LLC",1716,megawatthours
2023-10-08T00,PE,PECO Energy zone - PJM,PJM,"PJM Interconnection, LLC",3725,megawatthours
2023-10-08T00,PEP,Potomac Electric Power zone - PJM,PJM,"PJM Interconnection, LLC",2757,megawatthours
2023-10-08T00,PL,Pennsylvania Power  zone - PJM,PJM,"PJM Interconnection, LLC",3993,megawatthours
2023-10-08T00,PN,Pennsylvania Electric zone - PJM,PJM,"PJM Interconnection, LLC",1751,megawatthours
2023-10-08T00,PS,Public Service Electric & Gas of New Jersey zone - PJM,PJM,"PJM Interconnection, LLC",4448,megawatthours
2023-10-08T00,RECO,Rockland Electric (East) zone - PJM,PJM,"PJM Interconnection, LLC",155,megawatthours
2023-10-08T00,CYGA,PNM-CYGA,PNM,Public Service Company of New Mexico,21,megawatthours
2023-10-08T00,Frep,Frep - PNM,PNM,Public Service Company of New Mexico,33,megawatthours
2023-10-08T00,Jica,Jicarilla Apache Nation - PNM,PNM,Public Service Company of New Mexico,2,megawatthours
2023-10-08T00,KAFB,KAFB - PNM,PNM,Public Service Company of New Mexico,50,megawatthours
2023-10-08T00,KCEC,KCEC - PNM,PNM,Public Service Company of New Mexico,13,megawatthours
2023-10-08T00,LAC,Los Alamos County - PNM,PNM,Public Service Company of New Mexico,74,megawatthours
2023-10-08T00,PNM,PNM System Firm Load,PNM,Public Service Company of New Mexico,1159,megawatthours
2023-10-08T00,TSGT,TSGT - PNM,PNM,Public Service Company of New Mexico,262,megawatthours
2023-10-08T00,CSWS,AEPW American Electric Power West - SWPP,SWPP,Southwest Power Pool,4351,megawatthours
2023-10-08T00,EDE,Empire District Electric Company - SWPP,SWPP,Southwest Power Pool,490,megawatthours
2023-10-08T00,GRDA,Grand River Dam Authority - SWPP,SWPP,Southwest Power Pool,739,megawatthours
2023-10-08T00,INDN,Independence Power null - SWPP,SWPP,Southwest Power Pool,92,megawatthours
2023-10-08T00,KACY,Kansas City Board of Public Utilities - SWPP,SWPP,Southwest Power Pool,214,megawatthours
2023-10-08T00,KCPL,Kansas City Power & Light - SWPP,SWPP,Southwest Power Pool,1411,megawatthours
2023-10-08T00,LES,Lincoln Electric System - SWPP,SWPP,Southwest Power Pool,334,megawatthours
2023-10-08T00,MPS,KCP&L Greater Missouri Operations - SWPP,SWPP,Southwest Power Pool,809,megawatthours
2023-10-08T00,NPPD,Nebraska Public Power District - SWPP,SWPP,Southwest Power Pool,1590,megawatthours
2023-10-08T00,OKGE,Oklahoma Gas and Electric Co. - SWPP,SWPP,Southwest Power Pool,3388,megawatthours
2023-10-08T00,OPPD,Omaha Public Power District - SWPP,SWPP,Southwest Power Pool,1316,megawatthours
2023-10-08T00,SECI,Sunflower Electric - SWPP,SWPP,Southwest Power Pool,578,megawatthours
2023-10-08T00,SPRM,City of Springfield - SWPP,SWPP,Southwest Power Pool,310,megawatthours
2023-10-08T00,SPS,Southwestern Public Service Company - SWPP,SWPP,Southwest Power Pool,3560,megawatthours
2023-10-08T00,WAUE,Western Area Power Upper Great Plains East - SWPP,SWPP,Southwest Power Pool,3725,megawatthours
2023-10-08T00,WFEC,Western Farmers Electric Cooperative - SWPP,SWPP,Southwest Power Pool,1002,megawatthours
2023-10-08T00,WR,Westar Energy - SWPP,SWPP,Southwest Power Pool,2952,megawatthours
2023-10-07T23,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,11650,megawatthours
2023-10-07T23,SCE,Southern California Edison - CISO,CISO,California Independent System Operator,14263,megawatthours
2023-10-07T23,SDGE,San Diego Gas and Electric - CISO,CISO,California Independent System Operator,1878,megawatthours
2023-10-07T23,VEA,Valley Electric Association  - CISO,CISO,California Independent System Operator,77,megawatthours
2023-10-07T23,COAS,ERCO - Coast,ERCO,"Electric Reliability Council of Texas, Inc.",12742,megawatthours
2023-10-07T23,EAST,ERCO - East,ERCO,"Electric Reliability Council of Texas, Inc.",1550,megawatthours
2023-10-07T23,FWES,ERCO - Far West,ERCO,"Electric Reliability Council of Texas, Inc.",6194,megawatthours
2023-10-07T23,NCEN,ERCO - North Central,ERCO,"Electric Reliability Council of Texas, Inc.",12216,megawatthours
2023-10-07T23,NRTH,ERCO - North,ERCO,"Electric Reliability Council of Texas, Inc.",1243,megawatthours
2023-10-07T23,SCEN,ERCO - South Central,ERCO,"Electric Reliability Council of Texas, Inc.",7540,megawatthours
2023-10-07T23,SOUT,ERCO - South,ERCO,"Electric Reliability Council of Texas, Inc.",3758,megawatthours
2023-10-07T23,WEST,ERCO - West,ERCO,"Electric Reliability Council of Texas, Inc.",1449,megawatthours
2023-10-07T23,4001,ISNE - Maine,ISNE,ISO New England,1329,megawatthours
2023-10-07T23,4002,ISNE - New Hampshire,ISNE,ISO New England,1320,megawatthours
2023-10-07T23,4003,ISNE - Vermont,ISNE,ISO New England,634,megawatthours
