period,subba,subba-name,parent,parent-name,value,value-units
2022-12-25T00,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,9980,megawatthours
2022-12-25T00,SCE,Southern California Edison - CISO,CISO,California Independent System Operator,9473,megawatthours
2022-12-25T00,SDGE,San Diego Gas and Electric - CISO,CISO,California Independent System Operator,1516,megawatthours
2022-12-25T00,VEA,Valley Electric Association  - CISO,CISO,California Independent System Operator,51,megawatthours
2022-12-25T00,COAS,ERCO - Coast,ERCO,"Electric Reliability Council of Texas, Inc.",12185,megawatthours
2022-12-25T00,EAST,ERCO - East,ERCO,"Electric Reliability Council of Texas, Inc.",2264,megawatthours
2022-12-25T00,FWES,ERCO - Far West,ERCO,"Electric Reliability Council of Texas, Inc.",4538,megawatthours
2022-12-25T00,NCEN,ERCO - North Central,ERCO,"Electric Reliability Council of Texas, Inc.",16792,megawatthours
2022-12-25T00,NRTH,ERCO - North,ERCO,"Electric Reliability Council of Texas, Inc.",1493,megawatthours
2022-12-25T00,SCEN,ERCO - South Central,ERCO,"Electric Reliability Council of Texas, Inc.",9255,megawatthours
2022-12-25T00,SOUT,ERCO - South,ERCO,"Electric Reliability Council of Texas, Inc.",4893,megawatthours
2022-12-25T00,WEST,ERCO - West,ERCO,"Electric Reliability Council of Texas, Inc.",1563,megawatthours
2022-12-25T00,4001,ISNE - Maine,ISNE,ISO New England,1436,megawatthours
2022-12-25T00,4002,ISNE - New Hampshire,ISNE,ISO New England,1566,megawatthours
2022-12-25T00,4003,ISNE - Vermont,ISNE,ISO New England,796,megawatthours
2022-12-25T00,4004,ISNE - Connecticut,ISNE,ISO New England,4232,megawatthours
2022-12-25T00,4005,ISNE - Rhode Island,ISNE,ISO New England,1125,megawatthours
2022-12-25T00,4006,ISNE - Southeast Mass.,ISNE,ISO New England,2106,megawatthours
2022-12-25T00,4007,ISNE - Western/Central Mass.,ISNE,ISO New England,2295,megawatthours
2022-12-25T00,4008,ISNE - Northeast Mass.,ISNE,ISO New England,3227,megawatthours
2022-12-25T00,0001,Zone 1 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",12948,megawatthours
2022-12-25T00,0004,Zone 4 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",6563,megawatthours
2022-12-25T00,0006,Zone 6 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",12512,megawatthours
2022-12-25T00,0027,Zones 2 and 7 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",18803,megawatthours
2022-12-25T00,0035,Zones 3 and 5 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",13022,megawatthours
2022-12-25T00,8910,"Zones 8, 9 and 10 - MISO",MISO,"Midcontinent Independent System Operator, Inc.",24826,megawatthours
2022-12-25T00,ZONA,West - NYIS,NYIS,New York Independent System Operator,1865,megawatthours
2022-12-25T00,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,1365,megawatthours
2022-12-25T00,ZONC,Central - NYIS,NYIS,New York Independent System Operator,2312,megawatthours
2022-12-25T00,ZOND,North - NYIS,NYIS,New York Independent System Operator,651,megawatthours
2022-12-25T00,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,1239,megawatthours
2022-12-25T00,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1737,megawatthours
2022-12-25T00,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,1496,megawatthours
2022-12-25T00,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,508,megawatthours
2022-12-25T00,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,831,megawatthours
2022-12-25T00,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,6649,megawatthours
2022-12-25T00,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,3066,megawatthours
2022-12-25T00,AE,Atlantic Electric zone - PJM,PJM,"PJM Interconnection, LLC",1539,megawatthours
2022-12-25T00,AEP,American Electric Power zone - PJM,PJM,"PJM Interconnection, LLC",19869,megawatthours
2022-12-25T00,AP,Allegheny Power zone - PJM,PJM,"PJM Interconnection, LLC",8714,megawatthours
2022-12-25T00,ATSI,"American Transmission Systems, Inc. zone - PJM",PJM,"PJM Interconnection, LLC",9080,megawatthours
2022-12-25T00,BC,Baltimore Gas null zone - PJM,PJM,"PJM Interconnection, LLC",5638,megawatthours
2022-12-25T00,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",13178,megawatthours
2022-12-25T00,DAY,Dayton Power null zone - PJM,PJM,"PJM Interconnection, LLC",2658,megawatthours
2022-12-25T00,DEOK,Duke Energy Ohio/Kentucky zone  - PJM,PJM,"PJM Interconnection, LLC",4070,megawatthours
2022-12-25T00,DOM,Dominion Virginia Power zone - PJM,PJM,"PJM Interconnection, LLC",19906,megawatthours
2022-12-25T00,DPL,Delmarva Power null zone - PJM,PJM,"PJM Interconnection, LLC",3403,megawatthours
2022-12-25T00,DUQ,Duquesne Lighting Company zone - PJM,PJM,"PJM Interconnection, LLC",1933,megawatthours
2022-12-25T00,EKPC,East Kentucky Power Cooperative zone - PJM,PJM,"PJM Interconnection, LLC",2890,megawatthours
2022-12-25T00,JC,Jersey Central Power null zone - PJM,PJM,"PJM Interconnection, LLC",3420,megawatthours
2022-12-25T00,ME,Metropolitan Edison zone - PJM,PJM,"PJM Interconnection, LLC",2444,megawatthours
2022-12-25T00,PE,PECO Energy zone - PJM,PJM,"PJM Interconnection, LLC",6260,megawatthours
2022-12-25T00,PEP,Potomac Electric Power zone - PJM,PJM,"PJM Interconnection, LLC",5025,megawatthours
