period,subba,subba-name,parent,parent-name,value,value-units
2023-07-07T00,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,11442,megawatthours
2023-07-07T00,SCE,Southern California Edison - CISO,CISO,California Independent System Operator,13378,megawatthours
2023-07-07T00,SDGE,San Diego Gas and Electric - CISO,CISO,California Independent System Operator,1328,megawatthours
2023-07-07T00,VEA,Valley Electric Association  - CISO,CISO,California Independent System Operator,107,megawatthours
2023-07-07T00,COAS,ERCO - Coast,ERCO,"Electric Reliability Council of Texas, Inc.",14648,megawatthours
2023-07-07T00,EAST,ERCO - East,ERCO,"Electric Reliability Council of Texas, Inc.",2565,megawatthours
2023-07-07T00,FWES,ERCO - Far West,ERCO,"Electric Reliability Council of Texas, Inc.",6445,megawatthours
2023-07-07T00,NCEN,ERCO - North Central,ERCO,"Electric Reliability Council of Texas, Inc.",23581,megawatthours
2023-07-07T00,NRTH,ERCO - North,ERCO,"Electric Reliability Council of Texas, Inc.",2090,megawatthours
2023-07-07T00,SCEN,ERCO - South Central,ERCO,"Electric Reliability Council of Texas, Inc.",11345,megawatthours
2023-07-07T00,SOUT,ERCO - South,ERCO,"Electric Reliability Council of Texas, Inc.",4517,megawatthours
2023-07-07T00,WEST,ERCO - West,ERCO,"Electric Reliability Council of Texas, Inc.",1941,megawatthours
2023-07-07T00,4001,ISNE - Maine,ISNE,ISO New England,1794,megawatthours
2023-07-07T00,4002,ISNE - New Hampshire,ISNE,ISO New England,2130,megawatthours
2023-07-07T00,4003,ISNE - Vermont,ISNE,ISO New England,819,megawatthours
2023-07-07T00,4004,ISNE - Connecticut,ISNE,ISO New England,5435,megawatthours
2023-07-07T00,4005,ISNE - Rhode Island,ISNE,ISO New England,1503,megawatthours
2023-07-07T00,4006,ISNE - Southeast Mass.,ISNE,ISO New England,2871,megawatthours
2023-07-07T00,4007,ISNE - Western/Central Mass.,ISNE,ISO New England,2897,megawatthours
2023-07-07T00,4008,ISNE - Northeast Mass.,ISNE,ISO New England,4315,megawatthours
2023-07-07T00,0001,Zone 1 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",11916,megawatthours
2023-07-07T00,0004,Zone 4 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",6710,megawatthours
2023-07-07T00,0006,Zone 6 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",13179,megawatthours
2023-07-07T00,0027,Zones 2 and 7 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",24036,megawatthours
2023-07-07T00,0035,Zones 3 and 5 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",12582,megawatthours
2023-07-07T00,8910,"Zones 8, 9 and 10 - MISO",MISO,"Midcontinent Independent System Operator, Inc.",26282,megawatthours
2023-07-07T00,ZONA,West - NYIS,NYIS,New York Independent System Operator,2209,megawatthours
2023-07-07T00,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,1660,megawatthours
2023-07-07T00,ZONC,Central - NYIS,NYIS,New York Independent System Operator,2560,megawatthours
2023-07-07T00,ZOND,North - NYIS,NYIS,New York Independent System Operator,696,megawatthours
2023-07-07T00,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,1219,megawatthours
2023-07-07T00,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,2076,megawatthours
2023-07-07T00,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,1929,megawatthours
2023-07-07T00,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,555,megawatthours
2023-07-07T00,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,1091,megawatthours
2023-07-07T00,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,8608,megawatthours
2023-07-07T00,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,4402,megawatthours
2023-07-07T00,AE,Atlantic Electric zone - PJM,PJM,"PJM Interconnection, LLC",2303,megawatthours
2023-07-07T00,AEP,American Electric Power zone - PJM,PJM,"PJM Interconnection, LLC",18860,megawatthours
2023-07-07T00,AP,Allegheny Power zone - PJM,PJM,"PJM Interconnection, LLC",7555,megawatthours
2023-07-07T00,ATSI,"American Transmission Systems, Inc. zone - PJM",PJM,"PJM Interconnection, LLC",10349,megawatthours
2023-07-07T00,BC,Baltimore Gas null zone - PJM,PJM,"PJM Interconnection, LLC",5469,megawatthours
2023-07-07T00,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",14227,megawatthours
2023-07-07T00,DAY,Dayton Power null zone - PJM,PJM,"PJM Interconnection, LLC",2646,megawatthours
2023-07-07T00,DEOK,Duke Energy Ohio/Kentucky zone  - PJM,PJM,"PJM Interconnection, LLC",4420,megawatthours
2023-07-07T00,DOM,Dominion Virginia Power zone - PJM,PJM,"PJM Interconnection, LLC",18757,megawatthours
2023-07-07T00,DPL,Delmarva Power null zone - PJM,PJM,"PJM Interconnection, LLC",3265,megawatthours
2023-07-07T00,DUQ,Duquesne Lighting Company zone - PJM,PJM,"PJM Interconnection, LLC",2310,megawatthours
2023-07-07T00,EKPC,East Kentucky Power Cooperative zone - PJM,PJM,"PJM Interconnection, LLC",2040,megawatthours
2023-07-07T00,JC,Jersey Central Power null zone - PJM,PJM,"PJM Interconnection, LLC",4951,megawatthours
2023-07-07T00,ME,Metropolitan Edison zone - PJM,PJM,"PJM Interconnection, LLC",2549,megawatthours
2023-07-07T00,PE,PECO Energy zone - PJM,PJM,"PJM Interconnection, LLC",7218,megawatthours
2023-07-07T00,PEP,Potomac Electric Power zone - PJM,PJM,"PJM Interconnection, LLC",4937,megawatthours
2023-07-07T00,PL,Pennsylvania Power  zone - PJM,PJM,"PJM Interconnection, LLC",6537,megawatthours
2023-07-07T00,PN,Pennsylvania Electric zone - PJM,PJM,"PJM Interconnection, LLC",2425,megawatthours
2023-07-07T00,PS,Public Service Electric & Gas of New Jersey zone - PJM,PJM,"PJM Interconnection, LLC",8549,megawatthours
