period,subba,subba-name,parent,parent-name,value,value-units
2024-03-10T00,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,8016,megawatthours
2024-03-10T00,SCE,Southern California Edison - CISO,CISO,California Independent System Operator,8319,megawatthours
2024-03-10T00,SDGE,San Diego Gas and Electric - CISO,CISO,California Independent System Operator,1218,megawatthours
2024-03-10T00,VEA,Valley Electric Association  - CISO,CISO,California Independent System Operator,43,megawatthours
2024-03-10T00,COAS,ERCO - Coast,ERCO,"Electric Reliability Council of Texas, Inc.",10459,megawatthours
2024-03-10T00,EAST,ERCO - East,ERCO,"Electric Reliability Council of Texas, Inc.",1473,megawatthours
2024-03-10T00,FWES,ERCO - Far West,ERCO,"Electric Reliability Council of Texas, Inc.",6508,megawatthours
2024-03-10T00,NCEN,ERCO - North Central,ERCO,"Electric Reliability Council of Texas, Inc.",10862,megawatthours
2024-03-10T00,NRTH,ERCO - North,ERCO,"Electric Reliability Council of Texas, Inc.",1429,megawatthours
2024-03-10T00,SCEN,ERCO - South Central,ERCO,"Electric Reliability Council of Texas, Inc.",6531,megawatthours
2024-03-10T00,SOUT,ERCO - South,ERCO,"Electric Reliability Council of Texas, Inc.",3473,megawatthours
2024-03-10T00,WEST,ERCO - West,ERCO,"Electric Reliability Council of Texas, Inc.",1070,megawatthours
2024-03-10T00,4001,ISNE - Maine,ISNE,ISO New England,1452,megawatthours
2024-03-10T00,4002,ISNE - New Hampshire,ISNE,ISO New England,1411,megawatthours
2024-03-10T00,4003,ISNE - Vermont,ISNE,ISO New England,698,megawatthours
2024-03-10T00,4004,ISNE - Connecticut,ISNE,ISO New England,3425,megawatthours
2024-03-10T00,4005,ISNE - Rhode Island,ISNE,ISO New England,927,megawatthours
2024-03-10T00,4006,ISNE - Southeast Mass.,ISNE,ISO New England,1800,megawatthours
2024-03-10T00,4007,ISNE - Western/Central Mass.,ISNE,ISO New England,1987,megawatthours
2024-03-10T00,4008,ISNE - Northeast Mass.,ISNE,ISO New England,2834,megawatthours
2024-03-10T00,0001,Zone 1 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",9919,megawatthours
2024-03-10T00,0004,Zone 4 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",4426,megawatthours
2024-03-10T00,0006,Zone 6 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",8875,megawatthours
2024-03-10T00,0027,Zones 2 and 7 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",16582,megawatthours
2024-03-10T00,0035,Zones 3 and 5 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",8686,megawatthours
2024-03-10T00,8910,"Zones 8, 9 and 10 - MISO",MISO,"Midcontinent Independent System Operator, Inc.",16428,megawatthours
2024-03-10T00,ZONA,West - NYIS,NYIS,New York Independent System Operator,1766,megawatthours
2024-03-10T00,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,1117,megawatthours
2024-03-10T00,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1831,megawatthours
2024-03-10T00,ZOND,North - NYIS,NYIS,New York Independent System Operator,690,megawatthours
