period,subba,subba-name,parent,parent-name,value,value-units
2023-05-05T00,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,11042,megawatthours
2023-05-05T00,SCE,Southern California Edison - CISO,CISO,California Independent System Operator,10052,megawatthours
2023-05-05T00,SDGE,San Diego Gas and Electric - CISO,CISO,California Independent System Operator,1301,megawatthours
2023-05-05T00,VEA,Valley Electric Association  - CISO,CISO,California Independent System Operator,55,megawatthours
2023-05-05T00,COAS,ERCO - Coast,ERCO,"Electric Reliability Council of Texas, Inc.",14941,megawatthours
2023-05-05T00,EAST,ERCO - East,ERCO,"Electric Reliability Council of Texas, Inc.",1859,megawatthours
2023-05-05T00,FWES,ERCO - Far West,ERCO,"Electric Reliability Council of Texas, Inc.",5953,megawatthours
2023-05-05T00,NCEN,ERCO - North Central,ERCO,"Electric Reliability Council of Texas, Inc.",14987,megawatthours
2023-05-05T00,NRTH,ERCO - North,ERCO,"Electric Reliability Council of Texas, Inc.",1385,megawatthours
2023-05-05T00,SCEN,ERCO - South Central,ERCO,"Electric Reliability Council of Texas, Inc.",9833,megawatthours
2023-05-05T00,SOUT,ERCO - South,ERCO,"Electric Reliability Council of Texas, Inc.",4633,megawatthours
2023-05-05T00,WEST,ERCO - West,ERCO,"Electric Reliability Council of Texas, Inc.",1645,megawatthours
2023-05-05T00,4001,ISNE - Maine,ISNE,ISO New England,1326,megawatthours
2023-05-05T00,4002,ISNE - New Hampshire,ISNE,ISO New England,1296,megawatthours
2023-05-05T00,4003,ISNE - Vermont,ISNE,ISO New England,595,megawatthours
2023-05-05T00,4004,ISNE - Connecticut,ISNE,ISO New England,3067,megawatthours
2023-05-05T00,4005,ISNE - Rhode Island,ISNE,ISO New England,856,megawatthours
2023-05-05T00,4006,ISNE - Southeast Mass.,ISNE,ISO New England,1601,megawatthours
2023-05-05T00,4007,ISNE - Western/Central Mass.,ISNE,ISO New England,1810,megawatthours
2023-05-05T00,4008,ISNE - Northeast Mass.,ISNE,ISO New England,2598,megawatthours
2023-05-05T00,0001,Zone 1 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",10295,megawatthours
2023-05-05T00,0004,Zone 4 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",4567,megawatthours
