period,subba,subba-name,parent,parent-name,value,value-units
2022-12-07T00,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,10989,megawatthours
2022-12-07T00,SCE,Southern California Edison - CISO,CISO,California Independent System Operator,11616,megawatthours
2022-12-07T00,SDGE,San Diego Gas and Electric - CISO,CISO,California Independent System Operator,2167,megawatthours
2022-12-07T00,VEA,Valley Electric Association  - CISO,CISO,California Independent System Operator,58,megawatthours
2022-12-07T00,COAS,ERCO - Coast,ERCO,"Electric Reliability Council of Texas, Inc.",13189,megawatthours
2022-12-07T00,EAST,ERCO - East,ERCO,"Electric Reliability Council of Texas, Inc.",1719,megawatthours
2022-12-07T00,FWES,ERCO - Far West,ERCO,"Electric Reliability Council of Texas, Inc.",4765,megawatthours
2022-12-07T00,NCEN,ERCO - North Central,ERCO,"Electric Reliability Council of Texas, Inc.",13015,megawatthours
2022-12-07T00,NRTH,ERCO - North,ERCO,"Electric Reliability Council of Texas, Inc.",1228,megawatthours
2022-12-07T00,SCEN,ERCO - South Central,ERCO,"Electric Reliability Council of Texas, Inc.",7944,megawatthours
2022-12-07T00,SOUT,ERCO - South,ERCO,"Electric Reliability Council of Texas, Inc.",3945,megawatthours
2022-12-07T00,WEST,ERCO - West,ERCO,"Electric Reliability Council of Texas, Inc.",1303,megawatthours
2022-12-07T00,4001,ISNE - Maine,ISNE,ISO New England,1503,megawatthours
2022-12-07T00,4002,ISNE - New Hampshire,ISNE,ISO New England,1514,megawatthours
2022-12-07T00,4003,ISNE - Vermont,ISNE,ISO New England,709,megawatthours
2022-12-07T00,4004,ISNE - Connecticut,ISNE,ISO New England,3690,megawatthours
2022-12-07T00,4005,ISNE - Rhode Island,ISNE,ISO New England,989,megawatthours
2022-12-07T00,4006,ISNE - Southeast Mass.,ISNE,ISO New England,1864,megawatthours
2022-12-07T00,4007,ISNE - Western/Central Mass.,ISNE,ISO New England,2164,megawatthours
2022-12-07T00,4008,ISNE - Northeast Mass.,ISNE,ISO New England,2955,megawatthours
2022-12-07T00,0001,Zone 1 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",12818,megawatthours
2022-12-07T00,0004,Zone 4 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",5576,megawatthours
2022-12-07T00,0006,Zone 6 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",10207,megawatthours
2022-12-07T00,0027,Zones 2 and 7 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",19883,megawatthours
2022-12-07T00,0035,Zones 3 and 5 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",10943,megawatthours
2022-12-07T00,8910,"Zones 8, 9 and 10 - MISO",MISO,"Midcontinent Independent System Operator, Inc.",19262,megawatthours
2022-12-07T00,ZONA,West - NYIS,NYIS,New York Independent System Operator,1901,megawatthours
2022-12-07T00,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,1268,megawatthours
2022-12-07T00,ZONC,Central - NYIS,NYIS,New York Independent System Operator,2007,megawatthours
2022-12-07T00,ZOND,North - NYIS,NYIS,New York Independent System Operator,735,megawatthours
2022-12-07T00,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,967,megawatthours
2022-12-07T00,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1520,megawatthours
2022-12-07T00,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,1243,megawatthours
2022-12-07T00,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,376,megawatthours
2022-12-07T00,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,725,megawatthours
2022-12-07T00,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,6015,megawatthours
2022-12-07T00,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,2517,megawatthours
2022-12-07T00,AE,Atlantic Electric zone - PJM,PJM,"PJM Interconnection, LLC",1206,megawatthours
2022-12-07T00,AEP,American Electric Power zone - PJM,PJM,"PJM Interconnection, LLC",14979,megawatthours
2022-12-07T00,AP,Allegheny Power zone - PJM,PJM,"PJM Interconnection, LLC",6514,megawatthours
2022-12-07T00,ATSI,"American Transmission Systems, Inc. zone - PJM",PJM,"PJM Interconnection, LLC",8264,megawatthours
2022-12-07T00,BC,Baltimore Gas null zone - PJM,PJM,"PJM Interconnection, LLC",3949,megawatthours
2022-12-07T00,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",11781,megawatthours
2022-12-07T00,DAY,Dayton Power null zone - PJM,PJM,"PJM Interconnection, LLC",2152,megawatthours
2022-12-07T00,DEOK,Duke Energy Ohio/Kentucky zone  - PJM,PJM,"PJM Interconnection, LLC",3100,megawatthours
2022-12-07T00,DOM,Dominion Virginia Power zone - PJM,PJM,"PJM Interconnection, LLC",14120,megawatthours
2022-12-07T00,DPL,Delmarva Power null zone - PJM,PJM,"PJM Interconnection, LLC",2255,megawatthours
2022-12-07T00,DUQ,Duquesne Lighting Company zone - PJM,PJM,"PJM Interconnection, LLC",1580,megawatthours
2022-12-07T00,EKPC,East Kentucky Power Cooperative zone - PJM,PJM,"PJM Interconnection, LLC",1551,megawatthours
2022-12-07T00,JC,Jersey Central Power null zone - PJM,PJM,"PJM Interconnection, LLC",2878,megawatthours
2022-12-07T00,ME,Metropolitan Edison zone - PJM,PJM,"PJM Interconnection, LLC",2097,megawatthours
2022-12-07T00,PE,PECO Energy zone - PJM,PJM,"PJM Interconnection, LLC",4878,megawatthours
2022-12-07T00,PEP,Potomac Electric Power zone - PJM,PJM,"PJM Interconnection, LLC",3702,megawatthours
2022-12-07T00,PL,Pennsylvania Power  zone - PJM,PJM,"PJM Interconnection, LLC",5556,megawatthours
2022-12-07T00,PN,Pennsylvania Electric zone - PJM,PJM,"PJM Interconnection, LLC",2246,megawatthours
2022-12-07T00,PS,Public Service Electric & Gas of New Jersey zone - PJM,PJM,"PJM Interconnection, LLC",5553,megawatthours
2022-12-07T00,RECO,Rockland Electric (East) zone - PJM,PJM,"PJM Interconnection, LLC",0,megawatthours
2022-12-07T00,CYGA,PNM-CYGA,PNM,Public Service Company of New Mexico,25,megawatthours
2022-12-07T00,Frep,Frep - PNM,PNM,Public Service Company of New Mexico,69,megawatthours
2022-12-07T00,Jica,Jicarilla Apache Nation - PNM,PNM,Public Service Company of New Mexico,3,megawatthours
2022-12-07T00,KAFB,KAFB - PNM,PNM,Public Service Company of New Mexico,51,megawatthours
2022-12-07T00,KCEC,KCEC - PNM,PNM,Public Service Company of New Mexico,40,megawatthours
2022-12-07T00,LAC,Los Alamos County - PNM,PNM,Public Service Company of New Mexico,76,megawatthours
2022-12-07T00,PNM,PNM System Firm Load,PNM,Public Service Company of New Mexico,1123,megawatthours
2022-12-07T00,TSGT,TSGT - PNM,PNM,Public Service Company of New Mexico,278,megawatthours
2022-12-07T00,CSWS,AEPW American Electric Power West - SWPP,SWPP,Southwest Power Pool,5270,megawatthours
2022-12-07T00,EDE,Empire District Electric Company - SWPP,SWPP,Southwest Power Pool,654,megawatthours
2022-12-07T00,GRDA,Grand River Dam Authority - SWPP,SWPP,Southwest Power Pool,767,megawatthours
2022-12-07T00,INDN,Independence Power null - SWPP,SWPP,Southwest Power Pool,125,megawatthours
2022-12-07T00,KACY,Kansas City Board of Public Utilities - SWPP,SWPP,Southwest Power Pool,309,megawatthours
2022-12-07T00,KCPL,Kansas City Power & Light - SWPP,SWPP,Southwest Power Pool,2083,megawatthours
2022-12-07T00,LES,Lincoln Electric System - SWPP,SWPP,Southwest Power Pool,440,megawatthours
2022-12-07T00,MPS,KCP&L Greater Missouri Operations - SWPP,SWPP,Southwest Power Pool,1154,megawatthours
2022-12-07T00,NPPD,Nebraska Public Power District - SWPP,SWPP,Southwest Power Pool,1988,megawatthours
2022-12-07T00,OKGE,Oklahoma Gas and Electric Co. - SWPP,SWPP,Southwest Power Pool,3972,megawatthours
2022-12-07T00,OPPD,Omaha Public Power District - SWPP,SWPP,Southwest Power Pool,1543,megawatthours
2022-12-07T00,SECI,Sunflower Electric - SWPP,SWPP,Southwest Power Pool,660,megawatthours
2022-12-07T00,SPRM,City of Springfield - SWPP,SWPP,Southwest Power Pool,381,megawatthours
2022-12-07T00,SPS,Southwestern Public Service Company - SWPP,SWPP,Southwest Power Pool,3610,megawatthours
2022-12-07T00,WAUE,Western Area Power Upper Great Plains East - SWPP,SWPP,Southwest Power Pool,4425,megawatthours
2022-12-07T00,WFEC,Western Farmers Electric Cooperative - SWPP,SWPP,Southwest Power Pool,1123,megawatthours
2022-12-07T00,WR,Westar Energy - SWPP,SWPP,Southwest Power Pool,3701,megawatthours
2022-12-06T23,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,11171,megawatthours
2022-12-06T23,SCE,Southern California Edison - CISO,CISO,California Independent System Operator,11400,megawatthours
2022-12-06T23,SDGE,San Diego Gas and Electric - CISO,CISO,California Independent System Operator,2028,megawatthours
2022-12-06T23,VEA,Valley Electric Association  - CISO,CISO,California Independent System Operator,54,megawatthours
2022-12-06T23,COAS,ERCO - Coast,ERCO,"Electric Reliability Council of Texas, Inc.",13181,megawatthours
2022-12-06T23,EAST,ERCO - East,ERCO,"Electric Reliability Council of Texas, Inc.",1685,megawatthours
2022-12-06T23,FWES,ERCO - Far West,ERCO,"Electric Reliability Council of Texas, Inc.",4838,megawatthours
2022-12-06T23,NCEN,ERCO - North Central,ERCO,"Electric Reliability Council of Texas, Inc.",12534,megawatthours
2022-12-06T23,NRTH,ERCO - North,ERCO,"Electric Reliability Council of Texas, Inc.",1210,megawatthours
2022-12-06T23,SCEN,ERCO - South Central,ERCO,"Electric Reliability Council of Texas, Inc.",7705,megawatthours
2022-12-06T23,SOUT,ERCO - South,ERCO,"Electric Reliability Council of Texas, Inc.",4014,megawatthours
2022-12-06T23,WEST,ERCO - West,ERCO,"Electric Reliability Council of Texas, Inc.",1322,megawatthours
2022-12-06T23,4001,ISNE - Maine,ISNE,ISO New England,1555,megawatthours
2022-12-06T23,4002,ISNE - New Hampshire,ISNE,ISO New England,1544,megawatthours
2022-12-06T23,4003,ISNE - Vermont,ISNE,ISO New England,724,megawatthours
2022-12-06T23,4004,ISNE - Connecticut,ISNE,ISO New England,3748,megawatthours
2022-12-06T23,4005,ISNE - Rhode Island,ISNE,ISO New England,1002,megawatthours
2022-12-06T23,4006,ISNE - Southeast Mass.,ISNE,ISO New England,1877,megawatthours
2022-12-06T23,4007,ISNE - Western/Central Mass.,ISNE,ISO New England,2200,megawatthours
2022-12-06T23,4008,ISNE - Northeast Mass.,ISNE,ISO New England,3026,megawatthours
2022-12-06T23,0001,Zone 1 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",12277,megawatthours
2022-12-06T23,0004,Zone 4 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",5395,megawatthours
2022-12-06T23,0006,Zone 6 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",10103,megawatthours
2022-12-06T23,0027,Zones 2 and 7 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",19738,megawatthours
2022-12-06T23,0035,Zones 3 and 5 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",10602,megawatthours
2022-12-06T23,8910,"Zones 8, 9 and 10 - MISO",MISO,"Midcontinent Independent System Operator, Inc.",18938,megawatthours
2022-12-06T23,ZONA,West - NYIS,NYIS,New York Independent System Operator,1905,megawatthours
2022-12-06T23,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,1295,megawatthours
2022-12-06T23,ZONC,Central - NYIS,NYIS,New York Independent System Operator,2046,megawatthours
2022-12-06T23,ZOND,North - NYIS,NYIS,New York Independent System Operator,751,megawatthours
2022-12-06T23,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,974,megawatthours
2022-12-06T23,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1541,megawatthours
2022-12-06T23,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,1260,megawatthours
2022-12-06T23,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,370,megawatthours
2022-12-06T23,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,728,megawatthours
2022-12-06T23,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,6175,megawatthours
2022-12-06T23,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,2541,megawatthours
2022-12-06T23,AE,Atlantic Electric zone - PJM,PJM,"PJM Interconnection, LLC",1226,megawatthours
2022-12-06T23,AEP,American Electric Power zone - PJM,PJM,"PJM Interconnection, LLC",15182,megawatthours
2022-12-06T23,AP,Allegheny Power zone - PJM,PJM,"PJM Interconnection, LLC",6546,megawatthours
2022-12-06T23,ATSI,"American Transmission Systems, Inc. zone - PJM",PJM,"PJM Interconnection, LLC",8282,megawatthours
2022-12-06T23,BC,Baltimore Gas null zone - PJM,PJM,"PJM Interconnection, LLC",3986,megawatthours
2022-12-06T23,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",11600,megawatthours
2022-12-06T23,DAY,Dayton Power null zone - PJM,PJM,"PJM Interconnection, LLC",2162,megawatthours
2022-12-06T23,DEOK,Duke Energy Ohio/Kentucky zone  - PJM,PJM,"PJM Interconnection, LLC",3094,megawatthours
2022-12-06T23,DOM,Dominion Virginia Power zone - PJM,PJM,"PJM Interconnection, LLC",14208,megawatthours
2022-12-06T23,DPL,Delmarva Power null zone - PJM,PJM,"PJM Interconnection, LLC",2276,megawatthours
2022-12-06T23,DUQ,Duquesne Lighting Company zone - PJM,PJM,"PJM Interconnection, LLC",1598,megawatthours
2022-12-06T23,EKPC,East Kentucky Power Cooperative zone - PJM,PJM,"PJM Interconnection, LLC",1529,megawatthours
2022-12-06T23,JC,Jersey Central Power null zone - PJM,PJM,"PJM Interconnection, LLC",2900,megawatthours
2022-12-06T23,ME,Metropolitan Edison zone - PJM,PJM,"PJM Interconnection, LLC",2127,megawatthours
2022-12-06T23,PE,PECO Energy zone - PJM,PJM,"PJM Interconnection, LLC",4947,megawatthours
2022-12-06T23,PEP,Potomac Electric Power zone - PJM,PJM,"PJM Interconnection, LLC",3809,megawatthours
2022-12-06T23,PL,Pennsylvania Power  zone - PJM,PJM,"PJM Interconnection, LLC",5672,megawatthours
2022-12-06T23,PN,Pennsylvania Electric zone - PJM,PJM,"PJM Interconnection, LLC",2284,megawatthours
2022-12-06T23,PS,Public Service Electric & Gas of New Jersey zone - PJM,PJM,"PJM Interconnection, LLC",5641,megawatthours
2022-12-06T23,RECO,Rockland Electric (East) zone - PJM,PJM,"PJM Interconnection, LLC",0,megawatthours
2022-12-06T23,CYGA,PNM-CYGA,PNM,Public Service Company of New Mexico,25,megawatthours
2022-12-06T23,Frep,Frep - PNM,PNM,Public Service Company of New Mexico,68,megawatthours
2022-12-06T23,Jica,Jicarilla Apache Nation - PNM,PNM,Public Service Company of New Mexico,3,megawatthours
2022-12-06T23,KAFB,KAFB - PNM,PNM,Public Service Company of New Mexico,52,megawatthours
2022-12-06T23,KCEC,KCEC - PNM,PNM,Public Service Company of New Mexico,31,megawatthours
2022-12-06T23,LAC,Los Alamos County - PNM,PNM,Public Service Company of New Mexico,75,megawatthours
2022-12-06T23,PNM,PNM System Firm Load,PNM,Public Service Company of New Mexico,1118,megawatthours
2022-12-06T23,TSGT,TSGT - PNM,PNM,Public Service Company of New Mexico,263,megawatthours
