period,subba,subba-name,parent,parent-name,value,value-units
2023-04-23T00,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,7852,megawatthours
2023-04-23T00,SCE,Southern California Edison - CISO,CISO,California Independent System Operator,10213,megawatthours
2023-04-23T00,SDGE,San Diego Gas and Electric - CISO,CISO,California Independent System Operator,1070,megawatthours
2023-04-23T00,VEA,Valley Electric Association  - CISO,CISO,California Independent System Operator,54,megawatthours
2023-04-23T00,COAS,ERCO - Coast,ERCO,"Electric Reliability Council of Texas, Inc.",12388,megawatthours
2023-04-23T00,EAST,ERCO - East,ERCO,"Electric Reliability Council of Texas, Inc.",1609,megawatthours
2023-04-23T00,FWES,ERCO - Far West,ERCO,"Electric Reliability Council of Texas, Inc.",5646,megawatthours
2023-04-23T00,NCEN,ERCO - North Central,ERCO,"Electric Reliability Council of Texas, Inc.",11424,megawatthours
2023-04-23T00,NRTH,ERCO - North,ERCO,"Electric Reliability Council of Texas, Inc.",1104,megawatthours
2023-04-23T00,SCEN,ERCO - South Central,ERCO,"Electric Reliability Council of Texas, Inc.",7737,megawatthours
2023-04-23T00,SOUT,ERCO - South,ERCO,"Electric Reliability Council of Texas, Inc.",4322,megawatthours
2023-04-23T00,WEST,ERCO - West,ERCO,"Electric Reliability Council of Texas, Inc.",1373,megawatthours
2023-04-23T00,4001,ISNE - Maine,ISNE,ISO New England,1217,megawatthours
2023-04-23T00,4002,ISNE - New Hampshire,ISNE,ISO New England,1176,megawatthours
2023-04-23T00,4003,ISNE - Vermont,ISNE,ISO New England,551,megawatthours
2023-04-23T00,4004,ISNE - Connecticut,ISNE,ISO New England,2754,megawatthours
2023-04-23T00,4005,ISNE - Rhode Island,ISNE,ISO New England,792,megawatthours
2023-04-23T00,4006,ISNE - Southeast Mass.,ISNE,ISO New England,1460,megawatthours
2023-04-23T00,4007,ISNE - Western/Central Mass.,ISNE,ISO New England,1634,megawatthours
2023-04-23T00,4008,ISNE - Northeast Mass.,ISNE,ISO New England,2427,megawatthours
2023-04-23T00,0001,Zone 1 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",10141,megawatthours
2023-04-23T00,0004,Zone 4 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",4472,megawatthours
2023-04-23T00,0006,Zone 6 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",8460,megawatthours
2023-04-23T00,0027,Zones 2 and 7 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",15347,megawatthours
2023-04-23T00,0035,Zones 3 and 5 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",9122,megawatthours
2023-04-23T00,8910,"Zones 8, 9 and 10 - MISO",MISO,"Midcontinent Independent System Operator, Inc.",17805,megawatthours
2023-04-23T00,ZONA,West - NYIS,NYIS,New York Independent System Operator,1486,megawatthours
2023-04-23T00,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,948,megawatthours
2023-04-23T00,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1531,megawatthours
2023-04-23T00,ZOND,North - NYIS,NYIS,New York Independent System Operator,625,megawatthours
2023-04-23T00,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,789,megawatthours
2023-04-23T00,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1162,megawatthours
2023-04-23T00,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,993,megawatthours
2023-04-23T00,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,270,megawatthours
2023-04-23T00,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,544,megawatthours
2023-04-23T00,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,4932,megawatthours
2023-04-23T00,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,1974,megawatthours
2023-04-23T00,AE,Atlantic Electric zone - PJM,PJM,"PJM Interconnection, LLC",1122,megawatthours
2023-04-23T00,AEP,American Electric Power zone - PJM,PJM,"PJM Interconnection, LLC",12295,megawatthours
2023-04-23T00,AP,Allegheny Power zone - PJM,PJM,"PJM Interconnection, LLC",4621,megawatthours
2023-04-23T00,ATSI,"American Transmission Systems, Inc. zone - PJM",PJM,"PJM Interconnection, LLC",6470,megawatthours
2023-04-23T00,BC,Baltimore Gas null zone - PJM,PJM,"PJM Interconnection, LLC",2919,megawatthours
2023-04-23T00,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",9179,megawatthours
2023-04-23T00,DAY,Dayton Power null zone - PJM,PJM,"PJM Interconnection, LLC",1576,megawatthours
2023-04-23T00,DEOK,Duke Energy Ohio/Kentucky zone  - PJM,PJM,"PJM Interconnection, LLC",2438,megawatthours
2023-04-23T00,DOM,Dominion Virginia Power zone - PJM,PJM,"PJM Interconnection, LLC",11920,megawatthours
2023-04-23T00,DPL,Delmarva Power null zone - PJM,PJM,"PJM Interconnection, LLC",1782,megawatthours
2023-04-23T00,DUQ,Duquesne Lighting Company zone - PJM,PJM,"PJM Interconnection, LLC",1276,megawatthours
2023-04-23T00,EKPC,East Kentucky Power Cooperative zone - PJM,PJM,"PJM Interconnection, LLC",1378,megawatthours
2023-04-23T00,JC,Jersey Central Power null zone - PJM,PJM,"PJM Interconnection, LLC",2267,megawatthours
2023-04-23T00,ME,Metropolitan Edison zone - PJM,PJM,"PJM Interconnection, LLC",1477,megawatthours
2023-04-23T00,PE,PECO Energy zone - PJM,PJM,"PJM Interconnection, LLC",3788,megawatthours
2023-04-23T00,PEP,Potomac Electric Power zone - PJM,PJM,"PJM Interconnection, LLC",2868,megawatthours
2023-04-23T00,PL,Pennsylvania Power  zone - PJM,PJM,"PJM Interconnection, LLC",3926,megawatthours
2023-04-23T00,PN,Pennsylvania Electric zone - PJM,PJM,"PJM Interconnection, LLC",1639,megawatthours
2023-04-23T00,PS,Public Service Electric & Gas of New Jersey zone - PJM,PJM,"PJM Interconnection, LLC",4354,megawatthours
2023-04-23T00,RECO,Rockland Electric (East) zone - PJM,PJM,"PJM Interconnection, LLC",0,megawatthours
2023-04-23T00,CYGA,PNM-CYGA,PNM,Public Service Company of New Mexico,19,megawatthours
2023-04-23T00,Frep,Frep - PNM,PNM,Public Service Company of New Mexico,82,megawatthours
2023-04-23T00,Jica,Jicarilla Apache Nation - PNM,PNM,Public Service Company of New Mexico,2,megawatthours
2023-04-23T00,KAFB,KAFB - PNM,PNM,Public Service Company of New Mexico,43,megawatthours
2023-04-23T00,KCEC,KCEC - PNM,PNM,Public Service Company of New Mexico,33,megawatthours
2023-04-23T00,LAC,Los Alamos County - PNM,PNM,Public Service Company of New Mexico,53,megawatthours
2023-04-23T00,PNM,PNM System Firm Load,PNM,Public Service Company of New Mexico,975,megawatthours
2023-04-23T00,TSGT,TSGT - PNM,PNM,Public Service Company of New Mexico,259,megawatthours
2023-04-23T00,CSWS,AEPW American Electric Power West - SWPP,SWPP,Southwest Power Pool,4549,megawatthours
2023-04-23T00,EDE,Empire District Electric Company - SWPP,SWPP,Southwest Power Pool,474,megawatthours
2023-04-23T00,GRDA,Grand River Dam Authority - SWPP,SWPP,Southwest Power Pool,687,megawatthours
2023-04-23T00,INDN,Independence Power null - SWPP,SWPP,Southwest Power Pool,98,megawatthours
2023-04-23T00,KACY,Kansas City Board of Public Utilities - SWPP,SWPP,Southwest Power Pool,216,megawatthours
2023-04-23T00,KCPL,Kansas City Power & Light - SWPP,SWPP,Southwest Power Pool,1529,megawatthours
2023-04-23T00,LES,Lincoln Electric System - SWPP,SWPP,Southwest Power Pool,329,megawatthours
2023-04-23T00,MPS,KCP&L Greater Missouri Operations - SWPP,SWPP,Southwest Power Pool,897,megawatthours
2023-04-23T00,NPPD,Nebraska Public Power District - SWPP,SWPP,Southwest Power Pool,1481,megawatthours
2023-04-23T00,OKGE,Oklahoma Gas and Electric Co. - SWPP,SWPP,Southwest Power Pool,3385,megawatthours
2023-04-23T00,OPPD,Omaha Public Power District - SWPP,SWPP,Southwest Power Pool,1334,megawatthours
2023-04-23T00,SECI,Sunflower Electric - SWPP,SWPP,Southwest Power Pool,565,megawatthours
2023-04-23T00,SPRM,City of Springfield - SWPP,SWPP,Southwest Power Pool,301,megawatthours
2023-04-23T00,SPS,Southwestern Public Service Company - SWPP,SWPP,Southwest Power Pool,3962,megawatthours
2023-04-23T00,WAUE,Western Area Power Upper Great Plains East - SWPP,SWPP,Southwest Power Pool,3629,megawatthours
2023-04-23T00,WFEC,Western Farmers Electric Cooperative - SWPP,SWPP,Southwest Power Pool,1045,megawatthours
2023-04-23T00,WR,Westar Energy - SWPP,SWPP,Southwest Power Pool,2804,megawatthours
2023-04-22T23,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,7497,megawatthours
2023-04-22T23,SCE,Southern California Edison - CISO,CISO,California Independent System Operator,9894,megawatthours
2023-04-22T23,SDGE,San Diego Gas and Electric - CISO,CISO,California Independent System Operator,863,megawatthours
2023-04-22T23,VEA,Valley Electric Association  - CISO,CISO,California Independent System Operator,51,megawatthours
2023-04-22T23,COAS,ERCO - Coast,ERCO,"Electric Reliability Council of Texas, Inc.",12663,megawatthours
2023-04-22T23,EAST,ERCO - East,ERCO,"Electric Reliability Council of Texas, Inc.",1655,megawatthours
2023-04-22T23,FWES,ERCO - Far West,ERCO,"Electric Reliability Council of Texas, Inc.",5820,megawatthours
2023-04-22T23,NCEN,ERCO - North Central,ERCO,"Electric Reliability Council of Texas, Inc.",11755,megawatthours
2023-04-22T23,NRTH,ERCO - North,ERCO,"Electric Reliability Council of Texas, Inc.",1094,megawatthours
2023-04-22T23,SCEN,ERCO - South Central,ERCO,"Electric Reliability Council of Texas, Inc.",7795,megawatthours
2023-04-22T23,SOUT,ERCO - South,ERCO,"Electric Reliability Council of Texas, Inc.",4435,megawatthours
2023-04-22T23,WEST,ERCO - West,ERCO,"Electric Reliability Council of Texas, Inc.",1421,megawatthours
2023-04-22T23,4001,ISNE - Maine,ISNE,ISO New England,1204,megawatthours
2023-04-22T23,4002,ISNE - New Hampshire,ISNE,ISO New England,1178,megawatthours
2023-04-22T23,4003,ISNE - Vermont,ISNE,ISO New England,528,megawatthours
2023-04-22T23,4004,ISNE - Connecticut,ISNE,ISO New England,2732,megawatthours
2023-04-22T23,4005,ISNE - Rhode Island,ISNE,ISO New England,787,megawatthours
2023-04-22T23,4006,ISNE - Southeast Mass.,ISNE,ISO New England,1448,megawatthours
2023-04-22T23,4007,ISNE - Western/Central Mass.,ISNE,ISO New England,1624,megawatthours
2023-04-22T23,4008,ISNE - Northeast Mass.,ISNE,ISO New England,2408,megawatthours
2023-04-22T23,0001,Zone 1 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",10066,megawatthours
2023-04-22T23,0004,Zone 4 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",4443,megawatthours
2023-04-22T23,0006,Zone 6 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",8309,megawatthours
2023-04-22T23,0027,Zones 2 and 7 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",15426,megawatthours
2023-04-22T23,0035,Zones 3 and 5 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",9071,megawatthours
