period,subba,subba-name,parent,parent-name,value,value-units
2022-10-22T00,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,11203,megawatthours
2022-10-22T00,SCE,Southern California Edison - CISO,CISO,California Independent System Operator,14711,megawatthours
2022-10-22T00,SDGE,San Diego Gas and Electric - CISO,CISO,California Independent System Operator,2196,megawatthours
2022-10-22T00,VEA,Valley Electric Association  - CISO,CISO,California Independent System Operator,66,megawatthours
2022-10-22T00,COAS,ERCO - Coast,ERCO,"Electric Reliability Council of Texas, Inc.",13167,megawatthours
2022-10-22T00,EAST,ERCO - East,ERCO,"Electric Reliability Council of Texas, Inc.",1851,megawatthours
2022-10-22T00,FWES,ERCO - Far West,ERCO,"Electric Reliability Council of Texas, Inc.",5345,megawatthours
2022-10-22T00,NCEN,ERCO - North Central,ERCO,"Electric Reliability Council of Texas, Inc.",14904,megawatthours
2022-10-22T00,NRTH,ERCO - North,ERCO,"Electric Reliability Council of Texas, Inc.",1318,megawatthours
2022-10-22T00,SCEN,ERCO - South Central,ERCO,"Electric Reliability Council of Texas, Inc.",8461,megawatthours
2022-10-22T00,SOUT,ERCO - South,ERCO,"Electric Reliability Council of Texas, Inc.",4024,megawatthours
2022-10-22T00,WEST,ERCO - West,ERCO,"Electric Reliability Council of Texas, Inc.",1395,megawatthours
2022-10-22T00,4001,ISNE - Maine,ISNE,ISO New England,1340,megawatthours
2022-10-22T00,4002,ISNE - New Hampshire,ISNE,ISO New England,1276,megawatthours
2022-10-22T00,4003,ISNE - Vermont,ISNE,ISO New England,619,megawatthours
2022-10-22T00,4004,ISNE - Connecticut,ISNE,ISO New England,3147,megawatthours
2022-10-22T00,4005,ISNE - Rhode Island,ISNE,ISO New England,854,megawatthours
2022-10-22T00,4006,ISNE - Southeast Mass.,ISNE,ISO New England,1564,megawatthours
2022-10-22T00,4007,ISNE - Western/Central Mass.,ISNE,ISO New England,1826,megawatthours
2022-10-22T00,4008,ISNE - Northeast Mass.,ISNE,ISO New England,2546,megawatthours
2022-10-22T00,0001,Zone 1 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",10500,megawatthours
2022-10-22T00,0004,Zone 4 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",4885,megawatthours
2022-10-22T00,0006,Zone 6 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",8874,megawatthours
2022-10-22T00,0027,Zones 2 and 7 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",17173,megawatthours
2022-10-22T00,0035,Zones 3 and 5 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",9488,megawatthours
2022-10-22T00,8910,"Zones 8, 9 and 10 - MISO",MISO,"Midcontinent Independent System Operator, Inc.",17815,megawatthours
2022-10-22T00,ZONA,West - NYIS,NYIS,New York Independent System Operator,1693,megawatthours
2022-10-22T00,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,1076,megawatthours
2022-10-22T00,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1697,megawatthours
2022-10-22T00,ZOND,North - NYIS,NYIS,New York Independent System Operator,646,megawatthours
2022-10-22T00,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,829,megawatthours
2022-10-22T00,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1361,megawatthours
2022-10-22T00,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,1068,megawatthours
2022-10-22T00,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,320,megawatthours
2022-10-22T00,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,636,megawatthours
2022-10-22T00,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,5366,megawatthours
2022-10-22T00,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,2180,megawatthours
2022-10-22T00,AE,Atlantic Electric zone - PJM,PJM,"PJM Interconnection, LLC",1194,megawatthours
2022-10-22T00,AEP,American Electric Power zone - PJM,PJM,"PJM Interconnection, LLC",12975,megawatthours
2022-10-22T00,AP,Allegheny Power zone - PJM,PJM,"PJM Interconnection, LLC",5270,megawatthours
2022-10-22T00,ATSI,"American Transmission Systems, Inc. zone - PJM",PJM,"PJM Interconnection, LLC",7094,megawatthours
2022-10-22T00,BC,Baltimore Gas null zone - PJM,PJM,"PJM Interconnection, LLC",3137,megawatthours
2022-10-22T00,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",10260,megawatthours
2022-10-22T00,DAY,Dayton Power null zone - PJM,PJM,"PJM Interconnection, LLC",1784,megawatthours
2022-10-22T00,DEOK,Duke Energy Ohio/Kentucky zone  - PJM,PJM,"PJM Interconnection, LLC",2660,megawatthours
2022-10-22T00,DOM,Dominion Virginia Power zone - PJM,PJM,"PJM Interconnection, LLC",12059,megawatthours
2022-10-22T00,DPL,Delmarva Power null zone - PJM,PJM,"PJM Interconnection, LLC",1887,megawatthours
2022-10-22T00,DUQ,Duquesne Lighting Company zone - PJM,PJM,"PJM Interconnection, LLC",1379,megawatthours
2022-10-22T00,EKPC,East Kentucky Power Cooperative zone - PJM,PJM,"PJM Interconnection, LLC",1228,megawatthours
2022-10-22T00,JC,Jersey Central Power null zone - PJM,PJM,"PJM Interconnection, LLC",2467,megawatthours
2022-10-22T00,ME,Metropolitan Edison zone - PJM,PJM,"PJM Interconnection, LLC",1694,megawatthours
2022-10-22T00,PE,PECO Energy zone - PJM,PJM,"PJM Interconnection, LLC",4115,megawatthours
2022-10-22T00,PEP,Potomac Electric Power zone - PJM,PJM,"PJM Interconnection, LLC",3004,megawatthours
2022-10-22T00,PL,Pennsylvania Power  zone - PJM,PJM,"PJM Interconnection, LLC",4459,megawatthours
2022-10-22T00,PN,Pennsylvania Electric zone - PJM,PJM,"PJM Interconnection, LLC",1850,megawatthours
2022-10-22T00,PS,Public Service Electric & Gas of New Jersey zone - PJM,PJM,"PJM Interconnection, LLC",4856,megawatthours
2022-10-22T00,RECO,Rockland Electric (East) zone - PJM,PJM,"PJM Interconnection, LLC",148,megawatthours
2022-10-22T00,CYGA,PNM-CYGA,PNM,Public Service Company of New Mexico,20,megawatthours
2022-10-22T00,Frep,Frep - PNM,PNM,Public Service Company of New Mexico,70,megawatthours
2022-10-22T00,Jica,Jicarilla Apache Nation - PNM,PNM,Public Service Company of New Mexico,2,megawatthours
2022-10-22T00,KAFB,KAFB - PNM,PNM,Public Service Company of New Mexico,50,megawatthours
2022-10-22T00,KCEC,KCEC - PNM,PNM,Public Service Company of New Mexico,20,megawatthours
2022-10-22T00,LAC,Los Alamos County - PNM,PNM,Public Service Company of New Mexico,74,megawatthours
2022-10-22T00,PNM,PNM System Firm Load,PNM,Public Service Company of New Mexico,1157,megawatthours
2022-10-22T00,TSGT,TSGT - PNM,PNM,Public Service Company of New Mexico,246,megawatthours
2022-10-22T00,CSWS,AEPW American Electric Power West - SWPP,SWPP,Southwest Power Pool,5202,megawatthours
2022-10-22T00,EDE,Empire District Electric Company - SWPP,SWPP,Southwest Power Pool,559,megawatthours
2022-10-22T00,GRDA,Grand River Dam Authority - SWPP,SWPP,Southwest Power Pool,803,megawatthours
2022-10-22T00,INDN,Independence Power null - SWPP,SWPP,Southwest Power Pool,112,megawatthours
2022-10-22T00,KACY,Kansas City Board of Public Utilities - SWPP,SWPP,Southwest Power Pool,273,megawatthours
2022-10-22T00,KCPL,Kansas City Power & Light - SWPP,SWPP,Southwest Power Pool,1748,megawatthours
2022-10-22T00,LES,Lincoln Electric System - SWPP,SWPP,Southwest Power Pool,373,megawatthours
2022-10-22T00,MPS,KCP&L Greater Missouri Operations - SWPP,SWPP,Southwest Power Pool,919,megawatthours
2022-10-22T00,NPPD,Nebraska Public Power District - SWPP,SWPP,Southwest Power Pool,1830,megawatthours
2022-10-22T00,OKGE,Oklahoma Gas and Electric Co. - SWPP,SWPP,Southwest Power Pool,3982,megawatthours
2022-10-22T00,OPPD,Omaha Public Power District - SWPP,SWPP,Southwest Power Pool,1422,megawatthours
2022-10-22T00,SECI,Sunflower Electric - SWPP,SWPP,Southwest Power Pool,671,megawatthours
2022-10-22T00,SPRM,City of Springfield - SWPP,SWPP,Southwest Power Pool,376,megawatthours
2022-10-22T00,SPS,Southwestern Public Service Company - SWPP,SWPP,Southwest Power Pool,3643,megawatthours
2022-10-22T00,WAUE,Western Area Power Upper Great Plains East - SWPP,SWPP,Southwest Power Pool,3734,megawatthours
2022-10-22T00,WFEC,Western Farmers Electric Cooperative - SWPP,SWPP,Southwest Power Pool,1162,megawatthours
2022-10-22T00,WR,Westar Energy - SWPP,SWPP,Southwest Power Pool,3531,megawatthours
2022-10-21T23,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,10480,megawatthours
2022-10-21T23,SCE,Southern California Edison - CISO,CISO,California Independent System Operator,14293,megawatthours
2022-10-21T23,SDGE,San Diego Gas and Electric - CISO,CISO,California Independent System Operator,1955,megawatthours
2022-10-21T23,VEA,Valley Electric Association  - CISO,CISO,California Independent System Operator,62,megawatthours
2022-10-21T23,COAS,ERCO - Coast,ERCO,"Electric Reliability Council of Texas, Inc.",13867,megawatthours
2022-10-21T23,EAST,ERCO - East,ERCO,"Electric Reliability Council of Texas, Inc.",1918,megawatthours
2022-10-21T23,FWES,ERCO - Far West,ERCO,"Electric Reliability Council of Texas, Inc.",5365,megawatthours
2022-10-21T23,NCEN,ERCO - North Central,ERCO,"Electric Reliability Council of Texas, Inc.",15461,megawatthours
2022-10-21T23,NRTH,ERCO - North,ERCO,"Electric Reliability Council of Texas, Inc.",1345,megawatthours
2022-10-21T23,SCEN,ERCO - South Central,ERCO,"Electric Reliability Council of Texas, Inc.",8678,megawatthours
2022-10-21T23,SOUT,ERCO - South,ERCO,"Electric Reliability Council of Texas, Inc.",4165,megawatthours
2022-10-21T23,WEST,ERCO - West,ERCO,"Electric Reliability Council of Texas, Inc.",1474,megawatthours
2022-10-21T23,4001,ISNE - Maine,ISNE,ISO New England,1375,megawatthours
2022-10-21T23,4002,ISNE - New Hampshire,ISNE,ISO New England,1306,megawatthours
2022-10-21T23,4003,ISNE - Vermont,ISNE,ISO New England,630,megawatthours
2022-10-21T23,4004,ISNE - Connecticut,ISNE,ISO New England,3195,megawatthours
2022-10-21T23,4005,ISNE - Rhode Island,ISNE,ISO New England,864,megawatthours
2022-10-21T23,4006,ISNE - Southeast Mass.,ISNE,ISO New England,1606,megawatthours
2022-10-21T23,4007,ISNE - Western/Central Mass.,ISNE,ISO New England,1866,megawatthours
2022-10-21T23,4008,ISNE - Northeast Mass.,ISNE,ISO New England,2610,megawatthours
2022-10-21T23,0001,Zone 1 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",10322,megawatthours
2022-10-21T23,0004,Zone 4 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",4817,megawatthours
2022-10-21T23,0006,Zone 6 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",8740,megawatthours
2022-10-21T23,0027,Zones 2 and 7 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",16885,megawatthours
2022-10-21T23,0035,Zones 3 and 5 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",9592,megawatthours
2022-10-21T23,8910,"Zones 8, 9 and 10 - MISO",MISO,"Midcontinent Independent System Operator, Inc.",18114,megawatthours
2022-10-21T23,ZONA,West - NYIS,NYIS,New York Independent System Operator,1660,megawatthours
2022-10-21T23,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,1068,megawatthours
2022-10-21T23,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1720,megawatthours
2022-10-21T23,ZOND,North - NYIS,NYIS,New York Independent System Operator,630,megawatthours
2022-10-21T23,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,813,megawatthours
2022-10-21T23,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1369,megawatthours
2022-10-21T23,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,1056,megawatthours
