period,subba,subba-name,parent,parent-name,value,value-units
2024-03-19T00,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,8132,megawatthours
2024-03-19T00,SCE,Southern California Edison - CISO,CISO,California Independent System Operator,10864,megawatthours
2024-03-19T00,SDGE,San Diego Gas and Electric - CISO,CISO,California Independent System Operator,2079,megawatthours
2024-03-19T00,VEA,Valley Electric Association  - CISO,CISO,California Independent System Operator,46,megawatthours
2024-03-19T00,COAS,ERCO - Coast,ERCO,"Electric Reliability Council of Texas, Inc.",11418,megawatthours
2024-03-19T00,EAST,ERCO - East,ERCO,"Electric Reliability Council of Texas, Inc.",1668,megawatthours
2024-03-19T00,FWES,ERCO - Far West,ERCO,"Electric Reliability Council of Texas, Inc.",6587,megawatthours
2024-03-19T00,NCEN,ERCO - North Central,ERCO,"Electric Reliability Council of Texas, Inc.",11631,megawatthours
2024-03-19T00,NRTH,ERCO - North,ERCO,"Electric Reliability Council of Texas, Inc.",1530,megawatthours
2024-03-19T00,SCEN,ERCO - South Central,ERCO,"Electric Reliability Council of Texas, Inc.",7220,megawatthours
2024-03-19T00,SOUT,ERCO - South,ERCO,"Electric Reliability Council of Texas, Inc.",3447,megawatthours
2024-03-19T00,WEST,ERCO - West,ERCO,"Electric Reliability Council of Texas, Inc.",1238,megawatthours
2024-03-19T00,4001,ISNE - Maine,ISNE,ISO New England,1431,megawatthours
2024-03-19T00,4002,ISNE - New Hampshire,ISNE,ISO New England,1420,megawatthours
2024-03-19T00,4003,ISNE - Vermont,ISNE,ISO New England,681,megawatthours
2024-03-19T00,4004,ISNE - Connecticut,ISNE,ISO New England,3346,megawatthours
2024-03-19T00,4005,ISNE - Rhode Island,ISNE,ISO New England,907,megawatthours
2024-03-19T00,4006,ISNE - Southeast Mass.,ISNE,ISO New England,1718,megawatthours
2024-03-19T00,4007,ISNE - Western/Central Mass.,ISNE,ISO New England,1997,megawatthours
2024-03-19T00,4008,ISNE - Northeast Mass.,ISNE,ISO New England,2803,megawatthours
2024-03-19T00,0001,Zone 1 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",10840,megawatthours
2024-03-19T00,0004,Zone 4 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",5044,megawatthours
2024-03-19T00,0006,Zone 6 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",10915,megawatthours
2024-03-19T00,0027,Zones 2 and 7 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",18479,megawatthours
2024-03-19T00,0035,Zones 3 and 5 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",9842,megawatthours
2024-03-19T00,8910,"Zones 8, 9 and 10 - MISO",MISO,"Midcontinent Independent System Operator, Inc.",17512,megawatthours
2024-03-19T00,ZONA,West - NYIS,NYIS,New York Independent System Operator,1989,megawatthours
2024-03-19T00,ZONB,Genesee - NYIS,NYIS,New York Independent System Operator,1238,megawatthours
2024-03-19T00,ZONC,Central - NYIS,NYIS,New York Independent System Operator,1945,megawatthours
2024-03-19T00,ZOND,North - NYIS,NYIS,New York Independent System Operator,718,megawatthours
2024-03-19T00,ZONE,Mohawk Valley - NYIS,NYIS,New York Independent System Operator,1008,megawatthours
2024-03-19T00,ZONF,Capital - NYIS,NYIS,New York Independent System Operator,1424,megawatthours
2024-03-19T00,ZONG,Hudson Valley - NYIS,NYIS,New York Independent System Operator,1172,megawatthours
2024-03-19T00,ZONH,Millwood - NYIS,NYIS,New York Independent System Operator,379,megawatthours
2024-03-19T00,ZONI,Dunwoodie - NYIS,NYIS,New York Independent System Operator,662,megawatthours
2024-03-19T00,ZONJ,New York City - NYIS,NYIS,New York Independent System Operator,5631,megawatthours
2024-03-19T00,ZONK,Long Island - NYIS,NYIS,New York Independent System Operator,2321,megawatthours
2024-03-19T00,AE,Atlantic Electric zone - PJM,PJM,"PJM Interconnection, LLC",1181,megawatthours
2024-03-19T00,AEP,American Electric Power zone - PJM,PJM,"PJM Interconnection, LLC",16699,megawatthours
2024-03-19T00,AP,Allegheny Power zone - PJM,PJM,"PJM Interconnection, LLC",6626,megawatthours
2024-03-19T00,ATSI,"American Transmission Systems, Inc. zone - PJM",PJM,"PJM Interconnection, LLC",8555,megawatthours
2024-03-19T00,BC,Baltimore Gas null zone - PJM,PJM,"PJM Interconnection, LLC",3654,megawatthours
2024-03-19T00,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",10772,megawatthours
2024-03-19T00,DAY,Dayton Power null zone - PJM,PJM,"PJM Interconnection, LLC",2273,megawatthours
2024-03-19T00,DEOK,Duke Energy Ohio/Kentucky zone  - PJM,PJM,"PJM Interconnection, LLC",3298,megawatthours
2024-03-19T00,DOM,Dominion Virginia Power zone - PJM,PJM,"PJM Interconnection, LLC",13939,megawatthours
2024-03-19T00,DPL,Delmarva Power null zone - PJM,PJM,"PJM Interconnection, LLC",2140,megawatthours
2024-03-19T00,DUQ,Duquesne Lighting Company zone - PJM,PJM,"PJM Interconnection, LLC",1623,megawatthours
2024-03-19T00,EKPC,East Kentucky Power Cooperative zone - PJM,PJM,"PJM Interconnection, LLC",2121,megawatthours
2024-03-19T00,JC,Jersey Central Power null zone - PJM,PJM,"PJM Interconnection, LLC",2667,megawatthours
2024-03-19T00,ME,Metropolitan Edison zone - PJM,PJM,"PJM Interconnection, LLC",2065,megawatthours
2024-03-19T00,PE,PECO Energy zone - PJM,PJM,"PJM Interconnection, LLC",4534,megawatthours
2024-03-19T00,PEP,Potomac Electric Power zone - PJM,PJM,"PJM Interconnection, LLC",3313,megawatthours
2024-03-19T00,PL,Pennsylvania Power  zone - PJM,PJM,"PJM Interconnection, LLC",5395,megawatthours
2024-03-19T00,PN,Pennsylvania Electric zone - PJM,PJM,"PJM Interconnection, LLC",2299,megawatthours
2024-03-19T00,PS,Public Service Electric & Gas of New Jersey zone - PJM,PJM,"PJM Interconnection, LLC",4994,megawatthours
2024-03-19T00,RECO,Rockland Electric (East) zone - PJM,PJM,"PJM Interconnection, LLC",165,megawatthours
2024-03-19T00,ACMA,City of Acoma Pueblo - PNM,PNM,Public Service Company of New Mexico,2,megawatthours
2024-03-19T00,CYGA,PNM-CYGA,PNM,Public Service Company of New Mexico,22,megawatthours
2024-03-19T00,Frep,Frep - PNM,PNM,Public Service Company of New Mexico,81,megawatthours
2024-03-19T00,Jica,Jicarilla Apache Nation - PNM,PNM,Public Service Company of New Mexico,2,megawatthours
2024-03-19T00,KAFB,KAFB - PNM,PNM,Public Service Company of New Mexico,51,megawatthours
2024-03-19T00,KCEC,KCEC - PNM,PNM,Public Service Company of New Mexico,37,megawatthours
2024-03-19T00,LAC,Los Alamos County - PNM,PNM,Public Service Company of New Mexico,56,megawatthours
2024-03-19T00,PNM,PNM System Firm Load,PNM,Public Service Company of New Mexico,1012,megawatthours
2024-03-19T00,TSGT,TSGT - PNM,PNM,Public Service Company of New Mexico,276,megawatthours
2024-03-19T00,CSWS,AEPW American Electric Power West - SWPP,SWPP,Southwest Power Pool,3661,megawatthours
2024-03-19T00,EDE,Empire District Electric Company - SWPP,SWPP,Southwest Power Pool,554,megawatthours
2024-03-19T00,GRDA,Grand River Dam Authority - SWPP,SWPP,Southwest Power Pool,712,megawatthours
2024-03-19T00,INDN,Independence Power null - SWPP,SWPP,Southwest Power Pool,100,megawatthours
2024-03-19T00,KACY,Kansas City Board of Public Utilities - SWPP,SWPP,Southwest Power Pool,238,megawatthours
2024-03-19T00,KCPL,Kansas City Power & Light - SWPP,SWPP,Southwest Power Pool,1577,megawatthours
2024-03-19T00,LES,Lincoln Electric System - SWPP,SWPP,Southwest Power Pool,347,megawatthours
2024-03-19T00,MPS,KCP&L Greater Missouri Operations - SWPP,SWPP,Southwest Power Pool,895,megawatthours
2024-03-19T00,NPPD,Nebraska Public Power District - SWPP,SWPP,Southwest Power Pool,1534,megawatthours
2024-03-19T00,OKGE,Oklahoma Gas and Electric Co. - SWPP,SWPP,Southwest Power Pool,3340,megawatthours
2024-03-19T00,OPPD,Omaha Public Power District - SWPP,SWPP,Southwest Power Pool,1458,megawatthours
2024-03-19T00,SECI,Sunflower Electric - SWPP,SWPP,Southwest Power Pool,553,megawatthours
2024-03-19T00,SPRM,City of Springfield - SWPP,SWPP,Southwest Power Pool,333,megawatthours
2024-03-19T00,SPS,Southwestern Public Service Company - SWPP,SWPP,Southwest Power Pool,3412,megawatthours
2024-03-19T00,WAUE,Western Area Power Upper Great Plains East - SWPP,SWPP,Southwest Power Pool,3604,megawatthours
2024-03-19T00,WFEC,Western Farmers Electric Cooperative - SWPP,SWPP,Southwest Power Pool,965,megawatthours
2024-03-19T00,WR,Westar Energy - SWPP,SWPP,Southwest Power Pool,3004,megawatthours
2024-03-18T23,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,7710,megawatthours
2024-03-18T23,SCE,Southern California Edison - CISO,CISO,California Independent System Operator,10841,megawatthours
2024-03-18T23,SDGE,San Diego Gas and Electric - CISO,CISO,California Independent System Operator,1870,megawatthours
2024-03-18T23,VEA,Valley Electric Association  - CISO,CISO,California Independent System Operator,56,megawatthours
2024-03-18T23,COAS,ERCO - Coast,ERCO,"Electric Reliability Council of Texas, Inc.",11623,megawatthours
2024-03-18T23,EAST,ERCO - East,ERCO,"Electric Reliability Council of Texas, Inc.",1664,megawatthours
2024-03-18T23,FWES,ERCO - Far West,ERCO,"Electric Reliability Council of Texas, Inc.",6572,megawatthours
2024-03-18T23,NCEN,ERCO - North Central,ERCO,"Electric Reliability Council of Texas, Inc.",11382,megawatthours
2024-03-18T23,NRTH,ERCO - North,ERCO,"Electric Reliability Council of Texas, Inc.",1503,megawatthours
2024-03-18T23,SCEN,ERCO - South Central,ERCO,"Electric Reliability Council of Texas, Inc.",7051,megawatthours
2024-03-18T23,SOUT,ERCO - South,ERCO,"Electric Reliability Council of Texas, Inc.",3457,megawatthours
2024-03-18T23,WEST,ERCO - West,ERCO,"Electric Reliability Council of Texas, Inc.",1232,megawatthours
2024-03-18T23,4001,ISNE - Maine,ISNE,ISO New England,1424,megawatthours
2024-03-18T23,4002,ISNE - New Hampshire,ISNE,ISO New England,1401,megawatthours
2024-03-18T23,4003,ISNE - Vermont,ISNE,ISO New England,668,megawatthours
2024-03-18T23,4004,ISNE - Connecticut,ISNE,ISO New England,3196,megawatthours
2024-03-18T23,4005,ISNE - Rhode Island,ISNE,ISO New England,868,megawatthours
2024-03-18T23,4006,ISNE - Southeast Mass.,ISNE,ISO New England,1636,megawatthours
2024-03-18T23,4007,ISNE - Western/Central Mass.,ISNE,ISO New England,1934,megawatthours
2024-03-18T23,4008,ISNE - Northeast Mass.,ISNE,ISO New England,2721,megawatthours
2024-03-18T23,0001,Zone 1 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",10383,megawatthours
2024-03-18T23,0004,Zone 4 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",4882,megawatthours
2024-03-18T23,0006,Zone 6 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",10774,megawatthours
2024-03-18T23,0027,Zones 2 and 7 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",18265,megawatthours
2024-03-18T23,0035,Zones 3 and 5 - MISO,MISO,"Midcontinent Independent System Operator, Inc.",9671,megawatthours
